"","cluster"
"Dmrtb1",1
"Duxbl3",1
"Rhox9",1
"Msgn1",1
"Prdm14",1
"Hoxa6",1
"Tbx19",1
"Sp7",1
"Sox11",1
"Tbx20",1
"Hoxc13",1
"Rfx4",1
"Gcm1",1
"Hdx",1
"Pou3f1",1
"Tbx2",1
"Tfap2c",1
"Foxq1",1
"Foxa1",1
"Duxbl2",1
"Rhox8",1
"Pitx2",1
"Snai2",1
"Gata6",1
"Obox7",1
"Hnf1b",1
"Tbx3",1
"Tfap2b",1
"Foxp2",1
"Hoxb2",1
"Onecut2",1
"Ascl1",1
"Duxbl1",1
"Hoxa4",1
"Sp5",1
"Zic4",1
"Pax7",1
"Sox13",1
"Neurog2",1
"Gata5",1
"Barx1",1
"Rfx6",1
"Pou3f3",1
"Hsf3",1
"Zfp42",1
"Onecut3",1
"Esrrg",1
"Sox9",1
"Foxa3",1
"Bsx",1
"Nkx2-3",1
"Hoxa5",1
"Tead1",1
"Nfe2l2",1
"Gata4",1
"Hoxc10",1
"Obox5",1
"Gcm2",1
"Pou3f2",1
"Tbx1",1
"Hoxc4",1
"Meis2",1
"Foxc2",1
"Lhx4",1
"Foxf1",1
"Zfp57",1
"Hey2",1
"Pax1",1
"Tcf21",1
"Msantd3",1
"Scrt1",1
"Hoxc5",1
"Hoxa10",1
"Rorb",1
"Lhx5",1
"Tbr1",1
"Zic3",1
"Crx",1
"Obox3",1
"Zfp423",1
"Hoxb13",1
"Hmga2",1
"Lhx6",1
"Foxl1",1
"Insm1",1
"Tead4",1
"Nr2f2",1
"Pax3",1
"Sox17",1
"Bhlhe23",1
"Egr4",1
"Tbx4",1
"Hoxb5",1
"Meis1",1
"Mafg",1
"Foxs1",1
"Klf15",1
"Obox1",1
"Trp63",1
"Tal2",1
"Tbx5",1
"Fezf2",1
"Nkx3-2",1
"Hoxc8",1
"Sall4",1
"Dmrt1",1
"Lhx8",1
"Zkscan2",1
"Neurod1",1
"T",1
"Alx3",1
"Foxb1",1
"Irx5",1
"Thap1",1
"Six4",1
"Gli2",1
"Isl1",1
"Hoxc9",1
"Sox3",1
"Nr1h4",1
"Tbx10",1
"Rhox11",1
"Zfp711",1
"Sox18",1
"Nfyb",1
"Mycn",1
"Nfib",1
"Sox21",1
"Gli3",1
"Hes2",1
"Foxh1",1
"Dmrt3",1
"Twist1",1
"Dmrta2",1
"Rbpjl",1
"Alx1",1
"Zscan4c",1
"Pou6f2",1
"Atf7",1
"Creb5",1
"Sox1",1
"Neurod2",1
"Mesp2",1
"Hnf4g",1
"Prdm6",1
"Zfp454",1
"Foxi3",1
"Sox30",1
"Pgr",1
"Rxrg",1
"Zscan4b",1
"Meox1",1
"Sox6",1
"Nhlh2",1
"Tbx15",1
"Elf5",1
"Esr2",1
"Hoxd10",1
"Lin28a",1
"Npas2",1
"Nr5a2",1
"Pknox2",1
"Dmbx1",1
"Evx1",1
"Rfx8",1
"Erg",1
"Nr2e1",1
"Uncx",1
"Prox1",1
"Prrxl1",1
"Sox7",1
"Neurod4",1
"Hnf4a",1
"Foxe1",1
"Hoxd11",1
"Aire",1
"Cphx2",1
"Pax8",1
"Zfp354a",1
"Six1",1
"Cdx4",1
"Myf5",1
"Zscan4d",1
"Tbp",1
"Zfp354b",1
"Irx3",1
"Tcfl5",1
"Six2",1
"Myf6",1
"Nhlh1",1
"Neurod6",1
"Ehf",1
"Hoxa9",1
"Lin28b",1
"Sp8",1
"Nr5a1",1
"Otx2",1
"Evx2",1
"Atoh1",1
"Six3",1
"Zscan4f",1
"Bbx",2
"Arid3c",2
"Klf12",2
"Nfe2l1",2
"Zfp523",2
"Maf",2
"Hsf1",2
"Smad4",2
"E2f6",2
"Relb",2
"Rfx5",2
"Homez",2
"Irf2",2
"Eomes",2
"Zfp324",2
"Zfp41",2
"Zfp143",2
"Lhx2",2
"Rbpj",2
"Prdm16",2
"Arid3a",2
"Klf10",2
"Bhlhe41",2
"Irf1",2
"Msc",2
"Atf6b",2
"Zfp410",2
"Nfatc1",2
"Foxj2",2
"Bhlhe40",2
"E2f4",2
"Zbtb49",2
"Stat5b",2
"Tfcp2",2
"Trp73",2
"Jdp2",2
"Etv5",2
"Irf7",2
"Thrb",2
"Meis3",2
"Zfp449",2
"Gfi1",2
"Hic1",2
"Zbtb14",2
"Foxm1",2
"Hsf4",2
"Osr2",2
"Hlf",2
"E2f1",2
"Nfil3",2
"Arnt2",2
"Zfp90",2
"Foxf2",2
"Setbp1",2
"Hey1",2
"Etv6",2
"Zbtb20",2
"Nr3c2",2
"Cebpb",2
"Zfp637",2
"Mtf1",2
"Prdm5",2
"Batf3",2
"Stat6",2
"Zbtb2",2
"Spic",2
"Nr4a2",2
"Twist2",2
"Zfp287",2
"Prdm4",2
"Zbtb43",2
"Six5",2
"Zbtb3",2
"Zfp276",2
"Pou6f1",2
"Batf",2
"Zfp653",2
"Trps1",2
"Zfp213",2
"Zfp558",2
"Mybl2",2
"Lin54",2
"Irf9",2
"Heyl",2
"Glis1",2
"Dmrt2",2
"Nr3c1",2
"Usf1",2
"Nfkb2",2
"Elf2",2
"Zfp14",2
"Irf8",2
"Ovol2",2
"Zfp282",2
"Pax9",2
"Prdm1",2
"Otx1",2
"Stat2",2
"Grhl1",2
"Vax2",2
"Pbx3",2
"Stat3",2
"Klf9",2
"Ybx3",2
"Tfe3",2
"Sox5",2
"Hif1a",2
"Hinfp",2
"Nrf1",2
