"","clusters","y","method"
"1",1,0,"euclidean"
"2",2,0.181607847213845,"euclidean"
"3",3,0.170772587959282,"euclidean"
"4",4,0.178513183394011,"euclidean"
"5",5,0.166511217271907,"euclidean"
"6",6,0.169738937925025,"euclidean"
"7",7,0.18370240135875,"euclidean"
"8",8,0.180643153786446,"euclidean"
"9",9,0.184531843483265,"euclidean"
"10",10,0.178617432342417,"euclidean"
"11",11,0.163910050348581,"euclidean"
"12",12,0.168356592585238,"euclidean"
"13",13,0.185573735103211,"euclidean"
"14",14,0.154522391006218,"euclidean"
"15",15,0.180167995048914,"euclidean"
"16",16,0.168543598727456,"euclidean"
"17",17,0.159099346998921,"euclidean"
"18",18,0.168842908426779,"euclidean"
"19",19,0.168575708135423,"euclidean"
"20",20,0.171995331738274,"euclidean"
"21",1,0,"pearson"
"22",2,0.317393123928576,"pearson"
"23",3,0.271182034465317,"pearson"
"24",4,0.284832378538455,"pearson"
"25",5,0.272444846551191,"pearson"
"26",6,0.256441737659007,"pearson"
"27",7,0.28772726119684,"pearson"
"28",8,0.285235610767209,"pearson"
"29",9,0.273160135654525,"pearson"
"30",10,0.278461419606799,"pearson"
"31",11,0.245490922988542,"pearson"
"32",12,0.247630428810511,"pearson"
"33",13,0.286081416060066,"pearson"
"34",14,0.248998844623465,"pearson"
"35",15,0.272153418557268,"pearson"
"36",16,0.258822129773632,"pearson"
"37",17,0.209030267942782,"pearson"
"38",18,0.246254242070184,"pearson"
"39",19,0.235870350371367,"pearson"
"40",20,0.239836029709026,"pearson"
"41",1,0,"spearman"
"42",2,0.255931201933098,"spearman"
"43",3,0.222307828584612,"spearman"
"44",4,0.230822905570921,"spearman"
"45",5,0.233115660311356,"spearman"
"46",6,0.211426426243674,"spearman"
"47",7,0.206280085367388,"spearman"
"48",8,0.203199068527504,"spearman"
"49",9,0.203713440742701,"spearman"
"50",10,0.189400243443059,"spearman"
"51",11,0.17094793460453,"spearman"
"52",12,0.179235942531125,"spearman"
"53",13,0.193883015683869,"spearman"
"54",14,0.169541692210826,"spearman"
"55",15,0.178426464917505,"spearman"
"56",16,0.164146616681598,"spearman"
"57",17,0.111481141179612,"spearman"
"58",18,0.13760499461722,"spearman"
"59",19,0.13917151842446,"spearman"
"60",20,0.136547033411612,"spearman"
"61",1,0,"kendall"
"62",2,0.197803894249543,"kendall"
"63",3,0.168422112311008,"kendall"
"64",4,0.174705125066224,"kendall"
"65",5,0.174399853957831,"kendall"
"66",6,0.158381792012499,"kendall"
"67",7,0.151555901063868,"kendall"
"68",8,0.148762258734774,"kendall"
"69",9,0.149464856767937,"kendall"
"70",10,0.139659299491815,"kendall"
"71",11,0.125906678642362,"kendall"
"72",12,0.132986445041646,"kendall"
"73",13,0.142026406364626,"kendall"
"74",14,0.125939766195568,"kendall"
"75",15,0.129622534471802,"kendall"
"76",16,0.121665010838333,"kendall"
"77",17,0.0852350583413121,"kendall"
"78",18,0.103670940155315,"kendall"
"79",19,0.105293884572783,"kendall"
"80",20,0.103563124950202,"kendall"
"81",1,0,"manhattan"
"82",2,0.160586656523319,"manhattan"
"83",3,0.151035580429979,"manhattan"
"84",4,0.166561517239746,"manhattan"
"85",5,0.15902118535209,"manhattan"
"86",6,0.15465821486005,"manhattan"
"87",7,0.168213633078529,"manhattan"
"88",8,0.17006990152461,"manhattan"
"89",9,0.168937154856732,"manhattan"
"90",10,0.169337863897175,"manhattan"
"91",11,0.147907613641726,"manhattan"
"92",12,0.158023384371222,"manhattan"
"93",13,0.176019044544891,"manhattan"
"94",14,0.14729383036535,"manhattan"
"95",15,0.170694057445398,"manhattan"
"96",16,0.162202054817864,"manhattan"
"97",17,0.147870691617483,"manhattan"
"98",18,0.162555713518304,"manhattan"
"99",19,0.160322927165758,"manhattan"
"100",20,0.166672192796051,"manhattan"
