"","Ahr","Arnt","Arntl","Atf1","Atf2","Atf3","Atf4","Atf7","Batf","Bbx","Bcl6","Bhlhe40","Cbfb","Cdx1","Creb1","Crem","Ctcf","Ddit3","E2f1","E2f3","E2f4","Egr1","Egr2","Elf1","Elf2","Elf4","Elk1","Elk3","Elk4","Ets1","Etv3","Etv6","Fli1","Fos","Fosb","Fosl2","Foxj3","Foxn3","Foxo1","Foxo3","Foxp1","Gabpa","Gata3","Gfi1","Glis3","Gmeb1","Hic1","Hlx","Hmg20b","Homez","Hsf2","Ikzf1","Ikzf3","Irf1","Irf2","Irf3","Irf4","Irf7","Irf8","Isl2","Jun","Junb","Jund","Klf10","Klf13","Klf2","Klf3","Klf4","Klf5","Klf6","Klf7","Klf8","Mafk","Max","Maz","Mbd2","Mecp2","Meis3","Meox2","Mlx","Mxd1","Myc","Nfatc1","Nfe2l2","Nfil3","Nfkb1","Nfkb2","Nfya","Nfyb","Nfyc","Nr1i3","Nr4a1","Nr4a2","Nr4a3","Nrf1","Patz1","Pbx4","Phox2b","Pknox1","Prdm1","Rel","Rela","Relb","Rfx1","Rora","Runx1","Runx2","Runx3","Setbp1","Smad3","Snai1","Snai3","Sp1","Sp110","Sp2","Sp3","Sp4","Srebf1","Srebf2","Stat1","Stat2","Stat3","Stat4","Stat6","Taf1","Tbx21","Tcf12","Tcf3","Tcf7","Tef","Tfdp1","Tfe3","Tgif1","Thap11","Thrb","Tigd2","Tlx2","Trp53","Usf1","Usf2","Wt1","Xbp1","Zbtb17","Zbtb3","Zfp143","Zfp212","Zfp260","Zfp263","Zfp281","Zfp287","Zfp335","Zfp341","Zfp398","Zfp422","Zfp566","Zfp64","Zfp692","Zfp740","Zfx"
"Ahr",1,0.00349845251312279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255545094274566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00859798440593349,0.00451896239717822,0.00399566528259221,0.00396167044957453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56291218256882e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051366120897348,0,0.0125666393379263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arnt",0.0034975878440172,1,0.27548226920268,0,0,0,0,0,0,0,0,0.1612916963794,0,0,0,0,0,0,0,0,0,0,0,0.00115796004722152,0.00850805844683979,0,0,0,0.00145369252834181,0.000387098807161143,0,0,0.00114338939448341,0,0,0,0,0.00230490318645314,0,0,0,0.00944462600310238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000457263115165032,0,0,0,0,0.00552936691597871,0,0.197666059217696,0,0.00276595125686574,0.00817207605280042,0,0,0.100286392162967,0.066590502021038,0.0345867123761462,0,0,0,0,0,0,0,0,0,0,0,0,0.00368278994514651,0,0,0,0.00513281758764083,0,0,0,0,0.00302607018718473,0,0,0,0,0,0,0,0,0,0,0,0.00727525066335662,0.00974341876869513,0,0,0,0,0,0,0,0.00294417900270585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338685956979092,0.105637745704185,0,0,0,0,0,0,0,0,0,0,0.000934808601850013,0,0,0,0,0,0,0,0
"Arntl",0,0.275476726703127,1,0,0,0,0,0,0,0,0,0.100404096411854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000678103779493479,0,0,0.058053029149231,0,0,0,0,0,0.217441529619514,0.0570077900922077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140914200709262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114938282882158,0,0,0,0,0,0,0.134384369378543,0.146091405066256,0,0.0618853701666149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atf1",0,0,0,1,0.0264688248968344,0.0568181261259835,0,0.0811791383727617,0,0,0,0,0,0,0.336827004690272,0.170198512129844,0,0,0.000638562882400677,0,0.00256373856219828,0.00483916254289939,0,0.0133169013149535,0,0,0,0,0,0,0,0,0.00650214820606737,0,0,0,0,0.00059319775980299,0,0,0,0,0,0,0,0.106050323649334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00674860299030892,0,0,0,0,0.00445995130233751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053225728172688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000527372265647077,0.00196634675422281,0,0.00699328330572388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599565534089981,0,0,0,0,0,0,0.075136047581646,0.00174997823175472,0,0,0,0,0,0,0,0,0.0017233108113225,0,0,0,0.00300708049466248,0,0,0
"Atf2",0,0,0,0.0264697343914169,1,0.0196892605873484,0,0.521512255152124,0,0,0.000796943061039646,0,0,0,0.113572887843544,0.145205899032733,0,0.021472951190939,0,0,0,0,0,0,0,0,0,0,0,0.000127344069162258,0,0,0,0,0,0,0.00223371313608744,0.00616190062353099,0,0,0,0,0,0,0,0,0.00253104120114573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617776508314035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934101597785102,0,0,0,0,0.00744061151069425,0.00839475414720769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00466246333219727,0,0,0,0.000350780676228747,0,0.00238771816328912,0.00660682655045531,0,0,0,0,0,0.0170159342711124,0,0,0.0111746516767314,0,0,0,0,0,0,0,0,0,0,0.00751976218235376,0,0,0.00352176683140134,0.000696726254358139,0,0,0,0,0,0
"Atf3",0,0,0,0.0568185446319507,0.0196890052308535,1,0,0.027892493096782,0.00194025339839546,0.00612199440673499,0,0,0,0,0.0506884736030527,0.0670755427759196,0,0,0,0,0,0,0.000445146316396377,0,0,0,0,0,0,0,0,0,0.00259861226253096,0.00435503363824457,0.0228160102654377,0.356536672174327,0,0,0,0,0,0,0.0033391447543333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148521977638631,0.00366223544129554,0,0,0.11264199723005,0.0567968873254609,0,0,0,0,0,0.0122577907851956,0.0141672265540924,0.00638726458002288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161698016773919,0,0.00427209512443372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044266973365736,0,0,0,0,0,0,0,0,0,0,0.00671196031400057,0,0,0,0,0,0,0,0,0,0,0,0.00711816625873154,0,0,0,0,0,0,0,0.0862828280275533,0,0.00153492980841551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atf4",0,0,0,0,0,0,1,0,0,0,0.00710066001617854,0,0,0,0,0,0,0.472973359199747,0,0,0,0,0,0,0.0039009399916297,0,0,0,0,0.00300642869133031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498122302435464,0,0,0,0,0,0,0,0,0.00822668405096992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198526767712644,0,0,0,0,0,0,0,0.000265046612755582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154729564312813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atf7",0,0,0,0.0811790596827582,0.521514110312993,0.0278812499387431,0,1,0,0,0,0,0,0,0.167661302532772,0.218294490223648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164114692792363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178760525753163,0,0,0,0,0,0,0,0.011081454325792,0,0,0,0,0.00471172969851828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batf",0,0,0,0,0,0.00192076193250054,0,0,1,0.0104104559404796,0,0,0.0040243937324026,0.014162706350655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61703650191491e-05,0,0.139689468529678,0.177423405782762,0.0934546950871167,0.0141392859261474,0,0.0145342700217693,0,0,0,0.00343595674260911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016981572509657,0,0.00356403943367339,0,0.0351749293874678,0.10080858537963,0.155522840935213,0,0,0,0,0,0,0,0,0,0.0560150552548464,0,0,0,0,0,0,0,0,0,0.0178619177259178,0.0711501536282946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126811739679721,0.00958566120699129,0.00167915020998856,0,0,0,0,0,0,0,0,0,0,0,0.00204393398925866,0,0,0,0.00456463022374751,0,0.0274509786015486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218427647484348,0,0,0,0,0,0,0,0,0
"Bbx",0,0,0,0,0,0.00612048279251907,0,0,0.0104155144359876,1,0.0250799118852164,0,0.00110556381984685,0.00523020180213441,0,0,0.00598266876507799,0,0,0,0,0,0,0,0,0,0,0,0,0.00820348679557043,0,0.0136337189696004,0,0,0,0.00708381985705588,0.00502676606233011,0.0102049189312039,0.0234130226419767,0,0,0,0.0421670874067275,0,0,0,0.0238041694444074,0,0,0,0,0.00769089313006867,0,0.0133781977976624,0.0136543820273275,0.00259977813774893,0.0240762493221662,0.0113374213371082,0,0.00636764498247316,0,0.00652233732847004,0.0105971098082536,0,0,0,0,0,0,0,0,0,0.0169189661829274,0,0,0,0,0.0162816903011078,0,0,0,0,0.009294063098317,0.00526606562139438,0,0.00423843493771023,0,0,0,0,0.0153877754436757,0,0,0,0,0,0.0174983123942037,0,0.0077271677748045,0.00341736360108794,0.0074462056551361,0.00898798935536156,0.00392656726189799,0,0.0214558939626807,0.0151565205143109,0.0075310935599598,0.010474453909674,0,0.0142948860165144,0,0,0,0,0,0,0,0.00355091918214791,0,0.00998493767129931,0,0,0.00670532219090869,0.00771119444538036,0,0.0300192306338844,0.000716411349767132,0,0.0334936673567209,0,0,0,0,0.00196050274515427,0,0,0,0.00793214782646131,0,0,0,0,0,0,0,0.0136101732443993,0,0,0.00275523790955503,0.0110984806708491,0.00908115993402087,0,0,0.000273037641923181,0,0,0,0,0
