"","Ahr","Arid3a","Arnt","Arntl","Atf1","Atf2","Atf7","Batf","Bbx","Bcl6","Bhlhe40","Bhlhe41","Cbfb","Cebpb","Creb1","Crem","Ctcf","Ddit3","Dmrt2","E2f1","E2f3","E2f4","E2f6","Egr1","Egr2","Elf1","Elf2","Elf4","Elk1","Elk3","Elk4","Eomes","Ets1","Ets2","Etv3","Etv5","Etv6","Fli1","Fos","Foxd2","Foxj2","Foxj3","Foxn3","Foxo1","Foxp1","Gabpa","Gata3","Gfi1","Heyl","Hic1","Hinfp","Hmg20b","Homez","Ikzf1","Ikzf3","Irf1","Irf2","Irf3","Irf4","Irf7","Irf8","Irf9","Isl2","Jdp2","Jun","Junb","Jund","Klf10","Klf13","Klf2","Klf3","Klf6","Klf7","Klf8","Klf9","Mafk","Max","Maz","Mbd2","Mecp2","Meis3","Meox2","Mlx","Mxd1","Nfatc1","Nfe2l1","Nfe2l2","Nfil3","Nfkb1","Nfkb2","Nfya","Nfyb","Nfyc","Nr1d2","Nr3c1","Nr4a2","Nrf1","Patz1","Pax9","Pbx3","Pknox1","Prdm1","Prdm16","Prdm4","Rbak","Rela","Rfx1","Rfx7","Rora","Runx1","Runx2","Runx3","Rxrb","Setbp1","Smad3","Smad4","Snai3","Sp1","Sp110","Sp2","Sp3","Sp4","Spi1","Srebf1","Srebf2","Stat1","Stat2","Stat3","Stat4","Stat5b","Stat6","Taf1","Tbx21","Tcf12","Tcf3","Tef","Tfdp1","Tfe3","Tfeb","Thap11","Thrb","Tigd2","Trp53","Usf1","Vax2","Xbp1","Zbtb14","Zbtb17","Zbtb20","Zbtb3","Zbtb49","Zfp143","Zfp212","Zfp213","Zfp260","Zfp263","Zfp281","Zfp287","Zfp324","Zfp335","Zfp398","Zfp410","Zfp422","Zfp523","Zfp566","Zfp64","Zfp740","Zfp768","Zfx","Zscan20"
"Ahr",1,0,0.0292972508691746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00436552629553044,0,0,0,0,0,0,0.000832867904092458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00786689337510846,0,0,0,0,0,0,0,0,0.01930061718004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198584628477781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256070044778943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arid3a",0,1,0,0,0,0,0,0.0252174873706214,0.0830651068530248,0,0,0,0,0,0,0,0.0481111513164724,0.0144373381688658,0.0482661616175786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112540839259476,0,0,0,0,0,0,0,0.028067304713023,0.0326480434926244,0,0,0,0.0380077981068617,0.03543968363999,0,0,0,0.0314113487376416,0,0,0,0.0115410758826187,0.0036911501107075,0,0.0104277253649987,0.0110756158947531,0,0.0113951588243712,0.131161360408333,0.0029161315507294,0,0,0,0,0,0,0,0,0,0,0,0.0213131243251218,0,0,0,0,0,0.0316309526830836,0,0,0,0.0227093262722015,0,0.00884754961679042,0,0,0,0,0,0.00256410848335338,0.0101586516756588,0.0182532759526756,0,0,0,0,0,0,0,0,0,0,0,0.0036076160318177,0.026299769610624,0.0162766710853938,0,0,0,0,0,0.00482997778022627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121608197126383,0.00234956947192431,0,0.0069115442872827,0,0,0,0,0,0,0,0,0,0.0161581864426669,0,0.0196818371602207,0,0,0,0,0.000822476997152469,0,0,0,0,0,0,0,0.0559810808508301,0,0,0,0,0.0116987416913369,0,0,0,0,0.000910888137040125,0,0
"Arnt",0.029297275824413,0,1,0.2880293147214,0,0,0,0,0,0,0.218679720911071,0,0,0,0,0,0.00254755719323716,0,0,0,0,0,0,0.00283618547615633,0,0.00547224127286347,0,0,0,0,0,0,0,0,0,0,0,0.00140275009203437,0,0,0,0,0.00854017039591489,0,0,0.00137689081830935,0.00614715674103959,0,0.0920136800594067,0,0,0,0,0.00147206909264257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000562510660982576,0.000267162636019547,0,0,0,0,0,0,0.220199474798351,0,0,0.01241860142165,0,0,0.19051159203843,0.083920862907952,0,0,0,0,0,0,0,0.00158568956968074,0,0,0,0,0.015071234850172,0,0,0,0,0,0.000321115652092986,0,0,0,0,0,0,0,0,0,0,0,0,0.00651287206386986,0,0,0.0108273565008581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142533690622463,0.048476745778891,0,0,0.00526459752747547,0,0,0,0,0.0077530617213131,0,0,0,0.0120618648305419,0,0,0,0.00742701234791911,0,0,0,0,0,0.0046881350666766,0,0,0,0
"Arntl",0,0,0.288025423649811,1,0,0,0,0,0,0,0.03133408072375,0.0584480893132105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957675313341238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411659639241747,0,0,0,0,0,0.211865706613462,0.0469431205249299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870139255971968,0.128080073582503,0,0,0,0,0.174334340391079,0,0.0587919645425782,0.00488048678782671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197912122066347,0,0,0,0,0,0,0,0
"Atf1",0,0,0,0,1,0,0.0258842533210582,0,0,0,0,0,0,0,0.333525406984961,0.219156370076557,0,0,0,0,0,0,0,0.0104988406088552,0,0.00165139614789697,0,0,0.00244831487372626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160697236701776,0,0,0,0,0,0,0,0,0,0,0,0,0.134386842704762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107074147641333,0,0,0,0,0,0,0,0,0.00451840325018198,0,0.000870624407663078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115909798349127,0,0,0,0,0,0,0,0.00322019032465033,0,0,0,0.0115373292705608,0,0,0,0.00228985962738158,0,0,0,0,0,0.0983220578852227,0,0,0,0,0,0.00389009941604613,0,0.0172292979054471,0,0.00346468820683342,0,0,0,0,0,0,0,0.00826739114468594,0,0,0.00303148410648229,0,0,0
"Atf2",0,0,0,0,0,1,0.520738135309766,0,0.000777507175772909,0,0,0,0,0,0.0697095581584201,0.181325098813167,0,0.0273218865063649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143781166816244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00804605504980598,0,0,0,0,0,0,0.00176976644875476,0,0,0,0,0,0,0,0.00548456585905983,0,0.00255816303341148,0,0,0,0,0,0,0,0.038103628579726,0,0,0,0,0,0.0124098832307007,0,0,0,0,0,0,0,0,0.00680863099037906,0,0,0,0,0,0,0,0,0,0,0,0,0.0335144775389086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atf7",0,0,0,0,0.0258854617888298,0.52074498859634,1,0,0,0,0,0,0,0,0.12045918232102,0.2204951617951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170298836451417,0,0,-0.00770524643496485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000882335143319197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108785793375627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154501850943704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batf",0,0.0252198805673647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000800258231391166,0,0,0,0,0,0,0.282892539645512,0,0,0.0111831356629565,0,0.00230256169285726,0,0,0.0114304164817442,0,0,0,0,0.00370208884419748,0,0,0,0.00234448873372877,0.0037083276245782,0,0.00990800022335509,0,0,0,0,0.0178007838802942,0.0517549756293007,0.158940644251693,0.130534017546405,0,0,0,0,0,0,0,0,0.0591408507652209,0,0,0,0,0.00397031483552078,0,0,0,0.0100891641762254,0.08029209216689,0.0923241008557287,0,0,0,0,0,0,0.00913104888284636,0.00186969716465879,0.00986300494168607,0,0,0,0,0,0.00013280702709037,0,0,0,0,0,0,0,0.0147114886841602,0.00352382601042075,0,0,0,0,0.00687725651331292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438880247603228,0.0167292275277155,0,0.00983820179777448,0,0,0,0,0,0,0,0,0,0.00557936199466638,0,0,0,0,0,0,0,0,0,0.00567041603866658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000820111667899928,0,0
"Bbx",0,0.0830671742947874,0,0,0,0.000783921112166527,0,0,1,0.0119424116662934,0,0,0.0150352019227154,0,0,0,0.0425132104577315,0.0184993369846739,0.0221371876390074,0,0,0,0,0,0,0,0,0,0,0,0,0.00249308404368316,0,0,0,0,0,0,0,0,0,0,0.0231035582930248,0.0124589968575486,0,0,0.0434669492221054,0,0,0.00630492258786778,0,0.0248973147129581,0,0.0410198643902572,0,0.00109096575832274,0.0092999452275065,0,0.0155431129347372,0.0260080137487927,0,0,0.0578058405678415,0.00812730513907443,0,0.00300810263777707,0,0,0,0,0,0,0,0,0,0.0196046722635069,0,0,0,0.00542268550845095,0.0227776755018304,0.0161320677546544,0,0,0.0191742769633774,0.0400407103737447,0.0182370086593195,0,0,0,0,0,0,0,0.0104076103714744,0.0245020523901342,0,0,0,0.0132421178366563,0,0.0116894767346349,0.0119685639043484,0,0,0,0,0.0146205433757825,0.028541677390973,0.0113142990979783,0.00148868859215687,0,0.0067479036499903,0,0.0137542395230562,0.0137034624014644,0,0,0.00637213779230936,0,0,0,0.0237212848485541,0,0,0.0052125262801748,0,0,0.000200757561401732,0.0150578053876858,0.0330088234786318,0,0.0154985621911245,0,0,0,0,0,0,0,0,0,0.0282961785302162,0,0,0.0232430159575845,0,0,0.00978550253661541,0.00772716522936025,0,0,0.0085792143624717,0,0,0,0,0.0241054827735546,0.0123280492253309,0.0109943730255678,0,0,0,0,0,0,0,0.0117748308094358,0,0.00267730568886053
"Bcl6",0,0,0,0,0,0,0,0,0.0119487363883066,1,0,0,0,0.00120153722112187,0,0,0.00981468071095785,0.0189821756422323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480631500177123,0,0,0,0,0,0,0,0,0,0,0,0,0.0103913203479349,0,0,0.00366210635738688,0,0,0,0.00679527071202999,0,0,0,0.139493463307712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00598790304901127,0,0.0657967173432928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139187821208828,0,0.00764879539046192,0,0,0,0,0,0,0.002391524004775,0.00214240869410493,0.0358551194865412,0.285908688383347,0,0,0.00862200905523474,0,0,0,0,0,0.0264635988811305,0,0,0,0.00135503403373553,0,0,0,0.019031054734314,0,0,0,0,0.024822406470588,0.0392373700233311,0.0260212093096971,0.00846054685875929,0,0.0258471107213176,0,0,0,0,0,0,0,0,0,0.003420538167277,0,0,0,0,0,0,0.010781974854137,0,0,0.126613232232182,0,0.0242753211905382,0,0,0.0480708669771127,0.00976558464917985,0,0.0951055200069096,0.00256651357308447,0,0,0,0,0,0,0,0
