"","AHR","ARID3A","ARNT","ARNTL","ATF1","ATF2","ATF7","BATF","BBX","BCL6","BHLHE40","BHLHE41","CBFB","CEBPB","CREB1","CREM","CTCF","DDIT3","DMRT2","E2F1","E2F3","E2F4","E2F6","EGR1","EGR2","ELF1","ELF2","ELF4","ELK1","ELK3","ELK4","EOMES","ETS1","ETS2","ETV3","ETV5","ETV6","FLI1","FOS","FOXD2","FOXJ2","FOXJ3","FOXN3","FOXO1","FOXP1","GABPA","GATA3","GFI1","HEYL","HIC1","HINFP","HMG20B","HOMEZ","IKZF1","IKZF3","IRF1","IRF2","IRF3","IRF4","IRF7","IRF8","IRF9","ISL2","JDP2","JUN","JUNB","JUND","KLF10","KLF13","KLF2","KLF3","KLF6","KLF7","KLF8","KLF9","MAFK","MAX","MAZ","MBD2","MECP2","MEIS3","MEOX2","MLX","MXD1","NFATC1","NFE2L1","NFE2L2","NFIL3","NFKB1","NFKB2","NFYA","NFYB","NFYC","NR1D2","NR3C1","NR4A2","NRF1","PATZ1","PAX9","PBX3","PKNOX1","PRDM1","PRDM16","PRDM4","RBAK","RELA","RFX1","RFX7","RORA","RUNX1","RUNX2","RUNX3","RXRB","SETBP1","SMAD3","SMAD4","SNAI3","SP1","SP110","SP2","SP3","SP4","SPI1","SREBF1","SREBF2","STAT1","STAT2","STAT3","STAT4","STAT5B","STAT6","TAF1","TBX21","TCF12","TCF3","TEF","TFDP1","TFE3","TFEB","THAP11","THRB","TIGD2","TRP53","USF1","VAX2","XBP1","ZBTB14","ZBTB17","ZBTB20","ZBTB3","ZBTB49","ZFP143","ZFP212","ZFP213","ZFP260","ZFP263","ZFP281","ZFP287","ZFP324","ZFP335","ZFP398","ZFP410","ZFP422","ZFP523","ZFP566","ZFP64","ZFP740","ZFP768","ZFX","ZSCAN20"
"AHR",0.908772609774651,0,-0.0338762880370696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00219851906750294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124356956931068,0,0,0,0,0,0,0,0,-0.0105528649672909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0302420891049079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00299784007533954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARID3A",0,0.995681526477833,0,0,0,0,0,-0.0341578139018926,-0.0833508327289293,0,0,0,0,0,0,0,-0.0474412048644409,-0.0106059984328596,-0.0381480131078983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00173985336433757,0,0,0,0,0,0,0,-0.0352801833457972,-0.0402886816129696,0,0,0,-0.0359127967135919,-0.0272291524726599,0,0,0,-0.0239637618136108,0,0,0,-0.0195387266677811,-0.0085469295004493,0,-0.0162688653255218,-0.0131672345141149,0,-0.00686111287206901,-0.115423080673791,-0.0034134513516271,0,-0.00155354041307097,0,0,0,0,0,0,0,0,0,-0.0204475340406126,0,0,0,0,0,-0.0232542714770493,0,0,0,-0.0177438932798699,0,-0.00533804571158646,0,0,0,0,0,-0.00141084828948326,-0.00644822813527247,-0.0135589912984768,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226797870235108,-0.0267675041903332,0,0,0,0,0,-0.00313568054345564,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00919195853909672,0,0,-0.00681351967978047,0,0,0,0,0,0,0,0,0,-0.0130963855798375,0,-0.0123586482169621,0,0,0,0,0,0,0,0,0,0,0,0,-0.0712563283139285,0,0,0,0,-0.0124829421770188,0,0,0,0,0,0,0
"ARNT",-0.0338754940324295,0,2.22738747017455,-0.647994139184616,0,0,0,0,0,0,-0.427533948289135,0,0,0,0,0,-0.00376752537679402,0,0,0,0,0,0,-0.00962196009190606,0,-0.0120916341115517,0,0,0,0,-0.00151351970634269,0,0,0,0,0,0,-0.00573406769958467,0,0,0,0,-0.0154951044866575,0,0,-0.0046489780703373,-0.00683141597563323,0,-0.15178972697916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000341837871002645,0,0,0,0,0,-0.00282463736993785,0,0,0,-0.00242797075156928,0,0,-0.370307594894989,0,0,-0.017956833968369,0,0,-0.412217365492279,-0.143228353698116,0,0,0,0,0,0,0,-0.00353165634580144,0,0,0,0,-0.0242600929914453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00878266378747686,0,0,-0.012349001104488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206911896395916,-0.124948590661147,0,0,-0.00863237565738968,0,0,0,0,-0.0158810699942719,0,0,0,-0.0165555674642821,0,0,0,-0.0100062947359302,0,0,0,0,0,-0.00851588353235698,0,0,0,0
"ARNTL",0,0,-0.647996169406495,2.45757237465068,0,0,0,0,0,0,-0.0726795166562882,-0.119378540958474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161578078344145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0826891861634513,0,0,0,0,0,-0.470862056242872,-0.0858955029029852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216329113526314,-0.298859384590348,0,0,0,0,-0.39009957440942,0,-0.0913633671559936,-0.00861862083872894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATF1",0,0,0,0,1.72465404104944,0,-0.074673317479694,0,0,0,0,0,0,0,-0.600417933221788,-0.412177124863894,0,0,0,0,-0.000900655000546091,0,0,-0.0229635248680441,0,-0.00376107823288305,0,0,-0.00607557616120188,0,0,0,0,0,0,0,0,-0.00108955328520161,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151617127154296,0,0,0,0,0,0,0,0,0,0,0,0,-0.249706858155719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219716469291717,0,0,0,0,0,0,0,0,-0.00534817371544115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0169085928679909,0,0,0,0,0,0,0,-0.00537491707978422,0,0,0,-0.0125070855092444,0,0,0,-0.00277920612278788,0,0,0,0,0,-0.125102491255956,0,0,0,0,0,-0.00646967027115627,0,-0.0210493677717469,0,-0.000299695589183783,0,0,0,0,0,0,0,-0.011025457935686,0,0,-0.00178986992376926,0,0,0
"ATF2",0,0,0,0,0,2.44873677964471,-1.2680330145738,0,0,0,0,0,0,0,-0.171378656912215,-0.420817123788788,0,-0.0390304572924612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.324581448695625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127579373441227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00813105873675915,0,-0.00481900507938038,0,0,0,0,0,0,0,-0.0576730011799523,0,0,0,0,0,-0.0177485032178808,0,0,0,0,0,0,0,0,-0.0115836348538093,0,0,0,0,0,0,0,0,0,0,0,0,-0.0453603985951894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATF7",0,0,0,0,-0.0746681633925849,-1.26803082237107,2.66014698455176,0,0,0,0,0,0,0,-0.278624284611897,-0.516931960461459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.382550464230189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000293729482048103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158995704739256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251637687504235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATF",0,-0.0341619046633302,0,0,0,0,0,1.78614636833214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00133630868447117,0,0,0,0,0,0,-0.544597995916576,0,0,-0.0187560003274263,0,-0.00469053566017559,0,0,-0.0157102088555814,0,0,0,0,0,0,0,0,-0.00746206748066286,-0.00908341830373867,0,-0.0194871748986236,0,0,0,0,-0.0352761224521587,-0.116290839660221,-0.304912528168615,-0.2813438327015,0,0,0,0,0,0,0,0,-0.0841378050429676,0,0,0,0,-0.00666024401437068,0,0,0,-0.0131828584826498,-0.101734647169995,-0.130860627720355,0,0,0,0,0,0,-0.0143263102580907,-0.00279728788866858,-0.0122973002531583,0,0,0,0,0,-0.000292658412045737,0,0,0,0,0,0,0,-0.0309096409387815,-0.00837466432736176,0,0,0,0,-0.00996599543989542,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00492927689340029,-0.0196495413500363,0,-0.0160516810952365,0,0,0,0,0,0,0,0,0,-0.00759348175732115,0,0,0,0,0,0,0,0,0,-0.00829264347627406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00163252341137524,0,0
"BBX",0,-0.0833531630286381,0,0,0,0,0,0,1.00929361914743,-0.0183033943266994,0,0,-0.0189866774987315,0,0,0,-0.0436787942759829,-0.0148975839285534,-0.014587759653347,0,0,0,0,0,0,0,0,0,0,0,0,-0.000569570710381413,0,0,0,0,0,0,0,0,0,0,-0.0297634143248705,-0.0148991716024544,0,0,-0.0421906240634979,0,0,-0.00561775865020899,0,-0.0181048801835639,0,-0.035252862528789,0,-0.00367392302468444,-0.0155398783425387,0,-0.0221558207199093,-0.0313346237593522,0,0,-0.0473885143818102,-0.0132270340524494,0,-0.00666212884937164,0,0,0,0,0,0,0,0,0,-0.0199407099742776,0,0,0,-0.00414587944933588,-0.0238107738735568,-0.00807123971490555,0,0,-0.0164006802069982,-0.035465901448613,-0.0195717622794876,0,0,0,0,0,0,0,-0.00858545835797895,-0.0209412007416047,0,0,0,-0.0163489951926292,0,-0.0135597162705839,-0.0105961160629824,0,0,0,0,-0.0117934500522289,-0.0260245113602732,-0.0185742468031068,-0.00418458249478665,-0.000267459160148388,-0.00602768830379964,0,-0.0152953489723458,-0.0137373719554964,0,0,-0.00329930143374695,0,0,0,-0.0327726477624066,0,0,-0.0102824537474841,0,0,-0.000518958723449843,-0.0140228376104457,-0.02802363124169,0,-0.0189001747825392,0,0,0,0,0,0,0,0,0,-0.026211238783174,0,0,-0.0194295305841551,0,0,0,-0.00583825768565635,0,0,-0.00833204696117857,0,0,0,0,-0.031125248275179,-0.0073260909249767,-0.00952658444692443,0,0,0,0,0,0,0,-0.00985179986022229,0,0
"BCL6",0,0,0,0,0,0,0,0,-0.0183141738738376,1.56412280122178,0,0,0,-0.000249723313070765,0,0,-0.0142770522315519,-0.0228225031215945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0678173407514086,0,0,0,0,0,0,0,-0.000920301903206965,0,0,0,0,-0.0148032273556538,0,0,-0.0055680374745367,0,0,0,-0.0099914707369658,0,0,0,-0.234857912632079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00932606978433946,0,-0.14010329429799,0,0,0,0,0,0,0,0,-0.00114436812321887,0,0,0,0,0,0,-0.0187754168330228,0,-0.00900796755471104,0,0,0,0,0,0,-0.00441278017087807,0,-0.0529778432188618,-0.460830368833161,0,0,-0.0119618182404962,0,0,0,0,0,-0.0353532678772549,0,0,0,-0.0028516674643215,0,0,0,-0.0313600653564112,0,0,0,0,-0.041537584402914,-0.0648188262123041,-0.035657584900065,-0.00966374853230785,0,-0.0378098877095801,0,0,0,0,0,0,0,0,0,-0.00659874616286948,0,0,0,0,0,0,-0.013765327754107,0,0,-0.166227855973764,0,-0.0341147699919733,0,0,-0.0805400597213116,-0.0114499330829798,0,-0.130080240135546,0,0,0,0,0,0,0,0,0
