"","TRM_Up","TRM_Down"
"gPrdm1",-0.0674485572365926,0.0826173962548138
"gHic1",-0.0257903709459047,0.0332768635547684
"gGfi1",-0.00985394619858791,0.0616763816545538
"gNfil3",-0.0331283740540355,0.0412801609693186
"gNr4a2",-0.0134987039895521,0.0254016339934202
"gIkzf3",-0.0124115180021045,0.0962236942279162
"gStat3",-0.0305471542691975,0.0258234972371703
"gTfdp1",0.00416826004471605,0.0276020708337767
"gIrf8",-0.0240596736444927,0.0455881861861467
"gZfp324",-0.0319264185168728,0.0521306916816626
"gZscan20",-0.035446120003659,0.0384995729444867
"gNfatc1",-0.0239316059685599,-0.0456220861874996
"gZfp410",-0.00123767570582852,0.0254838090125577
"gJdp2",-0.0179750945983753,-0.0165927650215834
"gArid3a",-0.0276448087463104,0.0559218012128797
"gEtv5",-0.0264244330495108,0.0503441864165895
