TF freq type
Zfp324 15866 ko
Atf6 13804 oe
Epas1 6537 oe
Nfat5 6101 oe
Zzz3 5978 ko
Zscan20 5801 ko
Zbtb26 5607 oe
Creb3l1 3546 oe
Foxn2 3322 oe
Sp140 3265 oe
Cdc5l 2764 ko
Cenpb 2710 oe
Tef 2571 ko
Hinfp 2448 ko
Zfp12 2444 ko
Arid2 2338 oe
Foxd2 2283 ko
Zfp652 2211 oe
Zscan26 2039 oe
Gmeb1 1927 oe
Arid3b 1877 oe
Tgif2 1769 ko
Zbtb20 1648 ko
Zbtb2 1636 ko
Zfp282 1564 ko
Cxxc1 1562 ko
Zfp90 1545 ko
Hsf4 1542 oe
Bcl11b 1535 ko
Nr1h3 1522 ko
Lcor 1488 oe
Pou6f1 1466 ko
E2f5 1359 oe
Hmbox1 1285 oe
Tet3 1255 oe
Jrkl 1226 oe
Zfp653 1201 ko
Prdm11 1192 oe
Zbtb45 1141 ko
Homez 1138 ko
Mybl2 1108 ko
Zkscan17 1108 ko
Lin54 1068 ko
Zfp300 1068 ko
Phf21a 1020 oe
Kdm2a 965 oe
Zfp276 963 ko
Naif1 931 ko
Zfp317 920 ko
Mynn 893 ko
Zfp248 837 ko
Zscan29 834 ko
Kdm2b 819 oe
Mypop 721 ko
Tigd2 684 ko
