TF freq type
Nfat5 805 oe
Epas1 551 oe
Zfp324 446 ko
Zbtb26 290 oe
Cenpb 255 oe
Cdc5l 199 ko
Atf6 179 oe
Zzz3 159 oe
Zfp652 151 oe
Hinfp 147 ko
Arid3b 145 oe
Arid2 142 oe
Hsf4 121 oe
Tet3 118 oe
Zscan20 109 ko
Cxxc1 105 ko
Nr1h3 98 oe
Hmbox1 94 oe
Zfp12 84 ko
Zfp282 81 oe
Homez 70 ko
Prdm11 70 oe
Foxn2 66 oe
Zbtb2 59 ko
Tgif2 57 ko
Jrkl 55 oe
Kdm2b 55 oe
Bcl11b 54 ko
Zscan26 53 oe
Gmeb1 46 oe
Sp140 44 oe
Zbtb20 44 ko
Zfp90 38 ko
Creb3l1 35 oe
Mynn 35 ko
Naif1 35 ko
Zbtb45 34 oe
Zfp317 34 ko
Lcor 33 oe
Foxd2 30 oe
Zkscan17 30 ko
Tef 28 ko
Zfp248 25 ko
Kdm2a 23 oe
Zfp300 23 oe
Zfp653 23 oe
Mypop 21 oe
Phf21a 21 oe
E2f5 20 oe
Mybl2 20 ko
Pou6f1 20 oe
Zscan29 20 oe
Lin54 19 oe
Tigd2 17 oe
Zfp276 17 oe
