TF freq type
Zfp324 514 ko
Epas1 500 oe
Nfat5 432 oe
Cdc5l 369 ko
Zbtb26 289 oe
Atf6 251 oe
Zzz3 224 oe
Zfp652 196 oe
Cenpb 177 oe
Arid2 151 oe
Hinfp 142 ko
Sp140 130 oe
Zscan20 122 ko
Hsf4 105 oe
Zbtb2 91 ko
Hmbox1 83 oe
Arid3b 82 oe
Zfp282 72 oe
Tef 64 ko
Tgif2 63 ko
Nr1h3 59 oe
Zfp12 58 ko
Foxn2 54 oe
Cxxc1 53 ko
Homez 49 ko
Bcl11b 45 ko
Gmeb1 44 oe
Zscan26 44 oe
Pou6f1 43 oe
Zfp90 40 ko
Tet3 39 oe
Jrkl 37 oe
Creb3l1 32 oe
Lin54 31 oe
Mynn 30 ko
Phf21a 29 oe
Kdm2a 27 oe
Prdm11 21 oe
Zbtb20 21 ko
Mypop 19 oe
Naif1 18 ko
E2f5 17 oe
Zfp317 17 ko
Zfp653 16 oe
Foxd2 13 oe
Lcor 13 oe
Mybl2 13 ko
Zbtb45 13 oe
Zfp300 12 oe
Zkscan17 12 ko
Kdm2b 11 oe
Zfp248 11 ko
Zfp276 11 oe
Zscan29 10 oe
Tigd2 9 oe
