TF freq type
Zfp324 850 ko
Epas1 399 oe
Nfat5 379 oe
Atf6 350 oe
Zbtb26 328 oe
Arid2 200 oe
Hinfp 197 ko
Sp140 192 oe
Zzz3 187 oe
Zfp652 156 oe
Zscan20 149 ko
Cdc5l 117 ko
Cenpb 101 oe
Foxn2 100 oe
Hmbox1 91 oe
Arid3b 90 oe
Cxxc1 85 ko
Creb3l1 68 oe
Gmeb1 67 oe
Hsf4 62 oe
Pou6f1 62 oe
Zbtb2 62 ko
Zfp90 62 ko
Kdm2a 60 oe
Phf21a 60 oe
Zfp282 60 oe
Jrkl 58 oe
Mybl2 58 ko
Tet3 58 oe
Zscan26 58 oe
Lcor 55 oe
Nr1h3 55 oe
Zfp12 53 ko
Zfp276 49 oe
Zfp317 39 ko
Zbtb20 31 ko
Zbtb45 30 oe
Zfp300 30 oe
Tef 24 ko
Tgif2 24 ko
Bcl11b 22 ko
E2f5 22 oe
Homez 22 ko
Naif1 22 ko
Prdm11 22 oe
Tigd2 22 oe
Zfp248 22 ko
Kdm2b 21 oe
Mypop 21 oe
Foxd2 19 oe
Lin54 19 oe
Zkscan17 19 ko
Mynn 17 ko
Zfp653 17 oe
Zscan29 17 oe
