TF freq type
Zfp324 44 ko
Zkscan17 24 ko
Zbtb20 22 ko
Klf9 18 ko
Jrkl 6 oe
Epas1 5 oe
Kdm2b 5 oe
Bach1 4 ko
Cxxc1 4 ko
Homez 4 ko
Mnt 4 ko
Mypop 4 oe
Pbx2 4 ko
Pou6f1 4 ko
Zbtb26 4 oe
Zfp248 4 ko
Zfp282 4 ko
Zscan20 4 ko
Zscan29 4 ko
E2f5 3 ko
Gmeb1 3 oe
Kdm2a 3 ko
Mybl2 3 ko
Arid5b 2 ko
Lcor 2 oe
Arid2 1 ko
Atf6 1 ko
Foxn2 1 oe
Hinfp 1 ko
Hsf4 1 ko
Lin54 1 ko
Phf21a 1 ko
Prdm11 1 ko
Setbp1 1 ko
Sp140 1 oe
Tef 1 ko
Tigd2 1 ko
Zbtb32 1 ko
Zbtb45 1 ko
Zfp113 1 ko
Zfp276 1 ko
Zfp652 1 ko
Zfp691 1 oe
Zfp90 1 ko
Zik1 1 oe
