TF freq type
Nfat5 704 oe
Epas1 698 oe
Zfp324 450 ko
Atf6 329 oe
Cenpb 257 oe
Tgif2 185 ko
Zbtb26 185 oe
Zfp652 184 oe
Zzz3 176 ko
Cdc5l 156 oe
Hinfp 121 ko
Zbtb20 119 ko
Tet3 117 oe
Prdm11 115 oe
Arid2 114 oe
Homez 105 ko
Zscan20 91 ko
Arid3b 90 oe
Hmbox1 90 oe
Pou6f1 90 ko
Nr1h3 76 oe
Zfp90 76 ko
Foxn2 72 oe
Lcor 70 oe
Zfp12 69 ko
Hsf4 66 oe
Bcl11b 62 oe
Kdm2b 62 oe
Gmeb1 57 oe
Zfp300 53 ko
Jrkl 52 oe
Mynn 45 ko
Sp140 45 oe
Zscan26 45 oe
Zscan29 45 oe
E2f5 37 oe
Zbtb45 36 ko
Zfp248 36 ko
Zfp317 35 ko
Kdm2a 34 oe
Lin54 32 ko
Cxxc1 29 oe
Mybl2 20 ko
Naif1 20 ko
Tef 20 ko
Tigd2 20 ko
Zbtb2 20 ko
Zfp276 20 ko
Zfp653 20 oe
Zkscan17 20 ko
Creb3l1 18 oe
Foxd2 18 oe
Mypop 18 ko
Phf21a 18 oe
Zfp282 18 ko
