TF freq type
Nr4a2 46 ko
Cebpb 10 ko
Heyl 10 ko
Sp9 8 oe
Arnt2 7 ko
Ahr 5 ko
Lef1 5 oe
Nr1i3 5 oe
Klf1 4 oe
Jdp2 3 ko
Setbp1 3 ko
Arid3a 1 ko
Bhlhe41 1 ko
Cebpd 1 oe
Crebzf 1 ko
E2f2 1 oe
Egr2 1 ko
Epas1 1 oe
Fos 1 oe
Hes1 1 oe
Hic1 1 ko
Hic2 1 ko
Jund 1 ko
Klf11 1 oe
Klf2 1 oe
Mlxipl 1 oe
Myb 1 oe
Nfe2 1 oe
Osr2 1 ko
Ovol2 1 oe
Pax9 1 ko
Pbx3 1 ko
Plag1 1 oe
Rara 1 oe
Sox4 1 oe
Sox5 1 oe
Sp6 1 oe
Spic 1 ko
Tcf7 1 oe
Tef 1 ko
Trps1 1 ko
Vax2 1 ko
Zbtb20 1 ko
Zfp184 1 oe
Zfp383 1 oe
Zfp653 1 ko
Zkscan17 1 ko
