TF freq type
Cdx1 49 oe
Ahr 1 ko
Arnt2 1 ko
Bhlhe41 1 ko
Cebpb 1 ko
Crebzf 1 ko
Crem 1 oe
Dmrt2 1 ko
Dpf3 1 oe
Eomes 1 ko
Fos 1 oe
Fosb 1 oe
Heyl 1 ko
Homez 1 ko
Hsf2 1 oe
Irf2 1 ko
Jun 1 oe
Junb 1 oe
Jund 1 ko
Klf4 1 oe
Klf5 1 oe
Klf6 1 oe
Klf9 1 ko
Lef1 1 oe
Mnt 1 ko
Myb 1 oe
Nr1i3 1 oe
Nr4a1 1 oe
Nr4a3 1 oe
Osr2 1 ko
Otx2 1 oe
Pax8 1 oe
Pbx3 1 ko
Pou6f1 1 ko
Rel 1 oe
Setbp1 1 ko
Snai1 1 oe
Sox8 1 oe
Sp9 1 oe
Spic 1 ko
Tcf7 1 oe
Tfap2b 1 oe
Vax2 1 ko
Wt1 1 oe
Zbtb20 1 ko
Zfp146 1 ko
Zfp174 1 ko
Zfp300 1 ko
Zfp324 1 ko
Zfp879 1 oe
