TF freq type
Atf6 1191 oe
Zfp324 826 ko
Zscan20 328 ko
Foxn2 211 oe
Zfp12 175 ko
Zfp282 173 ko
Hsf4 141 ko
Pou6f1 136 ko
Creb3l1 130 oe
Zbtb20 128 ko
E2f5 125 ko
Gmeb1 124 oe
Zscan26 121 oe
Sp140 118 oe
Cdc5l 112 ko
Cxxc1 109 ko
Tef 108 ko
Foxd2 107 ko
Zkscan17 104 ko
Zzz3 103 ko
Mynn 102 ko
Arid3b 93 ko
Zfp653 93 ko
Epas1 88 oe
Phf21a 88 ko
Zbtb26 88 ko
Lcor 81 oe
Zbtb2 81 ko
Zfp90 81 ko
Nr1h3 79 ko
Naif1 71 ko
Zscan29 67 ko
Prdm11 66 ko
Zfp248 66 ko
Zfp652 65 ko
Jrkl 62 oe
Hinfp 61 ko
Homez 61 ko
Kdm2a 61 ko
Mybl2 61 ko
Zfp276 61 ko
Tigd2 56 ko
Zfp317 53 ko
Zfp300 51 ko
Nfat5 48 ko
Lin54 44 ko
Kdm2b 43 ko
Arid2 42 ko
Hmbox1 42 ko
Zbtb45 42 ko
Bcl11b 41 ko
Mypop 39 ko
Tet3 35 ko
Cenpb 34 ko
Tgif2 34 ko
