TF freq type
Zbtb32 728 ko
Setbp1 448 ko
Zkscan17 228 ko
Zscan29 225 ko
Mybl2 216 ko
Klf9 191 ko
Cxxc5 188 ko
Zfp324 181 ko
Gmeb1 111 oe
Homez 102 ko
Pou6f1 102 ko
Zik1 101 ko
Zfp248 98 ko
Kdm2b 96 ko
Lin54 77 ko
Zfp113 69 ko
Zfp276 65 ko
Zfp282 65 ko
Bach1 64 ko
Naif1 61 ko
Zbtb20 53 oe
Zscan20 50 ko
Mnt 49 ko
Zfp653 49 ko
Kdm2a 41 ko
Zzz3 37 ko
Tigd2 36 ko
Arid5b 27 ko
Arid3b 25 ko
Hmbox1 25 ko
Mynn 25 ko
Cdc5l 24 ko
Foxn2 24 oe
Hsf4 24 ko
Tef 23 ko
Arid2 21 ko
Bcl11b 21 ko
Hinfp 21 ko
Cxxc1 20 ko
Phf21a 20 ko
Zbtb2 20 ko
Zfp691 20 ko
E2f5 19 ko
Pou2f1 19 ko
Sp140 19 ko
Zfp652 19 oe
Zfp90 19 ko
Zbtb45 16 ko
Atf6 11 ko
Jrkl 11 ko
Mypop 11 ko
Pbx2 11 ko
Epas1 10 ko
Prdm11 10 ko
Lcor 9 ko
Rest 9 ko
Zbtb37 9 ko
Zfp69 9 ko
Zbtb26 8 ko
