TF freq type
Zfp324 1653 ko
Gmeb1 769 oe
Zscan20 271 ko
Zfp282 270 ko
Zfp113 173 ko
Zbtb32 157 ko
Zik1 157 ko
Pou2f1 151 ko
Arid5b 150 ko
Pou6f1 142 ko
Mynn 125 ko
Mypop 118 ko
Zbtb20 115 oe
Mybl2 110 ko
Zscan29 106 ko
Mnt 104 ko
Atf6 103 ko
Zbtb37 102 ko
Zfp276 102 ko
Zfp248 99 ko
Hinfp 98 ko
Klf9 98 ko
Arid3b 92 ko
Cxxc1 90 ko
Foxn2 89 oe
Lin54 84 ko
Zfp691 84 ko
Zzz3 83 ko
Zfp90 82 ko
Zbtb2 81 ko
Pbx2 80 ko
Setbp1 80 ko
Phf21a 78 ko
Zfp653 76 ko
Tigd2 75 ko
Tef 73 ko
Cdc5l 72 ko
Hsf4 71 ko
Zfp652 71 oe
Homez 70 ko
Kdm2a 70 ko
Naif1 70 ko
Zkscan17 70 ko
Arid2 69 ko
Kdm2b 69 ko
Zfp69 69 ko
Epas1 68 ko
Prdm11 68 ko
Zbtb45 68 ko
Bach1 67 ko
Bcl11b 67 ko
Cxxc5 67 ko
E2f5 67 ko
Rest 67 ko
Hmbox1 66 ko
Jrkl 66 ko
Lcor 66 ko
Sp140 66 ko
Zbtb26 66 ko
