TF1 TF2 TF3 z-score.sum freq TF1_type TF2_type TF3_type
Zfp324 Zscan20 Homez 53 23 ko ko ko
Zfp324 Zscan20 Zscan26 60 22 ko ko oe
Zfp324 Zscan20 Gmeb1 59 22 ko ko oe
Zfp324 Zscan20 Nr1h3 55 22 ko ko ko
Zfp324 Zscan20 Arid3b 55 21 ko ko oe
Zfp324 Zscan20 Foxn2 62 20 ko ko oe
Zfp324 Zscan20 Zfp12 55 20 ko ko ko
Zfp324 Zscan20 Zbtb2 53 20 ko ko ko
Zfp324 Zscan20 Hsf4 52 20 ko ko oe
Zfp324 Epas1 Arid3b 51 20 ko oe oe
Zfp324 Zscan20 Bcl11b 51 20 ko ko ko
Zfp324 Zscan20 Lin54 48 20 ko ko ko
Zfp324 Epas1 Zbtb2 48 20 ko oe ko
Zfp324 Zbtb26 Gmeb1 50 19 ko oe oe
Zfp324 Zbtb26 Zscan26 50 19 ko oe oe
Zfp324 Zscan20 Zfp653 49 19 ko ko ko
Zfp324 Zscan20 Jrkl 48 19 ko ko oe
Zfp324 Zbtb26 Lcor 48 19 ko oe oe
Zfp324 Zscan20 Pou6f1 48 19 ko ko ko
Zfp324 Zbtb26 Bcl11b 47 19 ko oe ko
Zfp324 Zbtb26 Pou6f1 47 19 ko oe ko
Zfp324 Zbtb26 Homez 45 19 ko oe ko
Zfp324 Epas1 Zfp653 45 19 ko oe ko
Zfp324 Zbtb26 Lin54 43 19 ko oe ko
Zfp324 Zbtb26 Hinfp 53 18 ko oe ko
Zfp324 Zbtb26 Arid2 52 18 ko oe oe
Zfp324 Zscan20 Foxd2 51 18 ko ko ko
Zfp324 Zscan20 Zfp90 49 18 ko ko ko
Zfp324 Zscan20 Cxxc1 48 18 ko ko ko
Zfp324 Zscan20 Tgif2 48 18 ko ko ko
Zfp324 Zscan20 Lcor 47 18 ko ko oe
Atf6 Zscan20 Arid3b 46 18 oe ko oe
Zfp324 Zbtb26 Cxxc1 46 18 ko oe ko
Zfp324 Foxn2 Gmeb1 46 18 ko oe oe
