TF freq type
Zfp324 4851 ko
Gmeb1 2505 oe
Zscan20 1669 ko
Hsf2 754 oe
Bhlha15 715 oe
Plag1 661 oe
Cxxc1 581 ko
Pou2f1 572 oe
Zfp113 536 ko
Foxd2 487 ko
Fosl1 473 oe
Nfe2 455 ko
Zfp282 450 ko
Zbtb32 444 ko
Trp73 385 ko
Nr1h3 376 ko
Mynn 353 ko
Etv4 344 ko
Tal1 337 oe
Zfp184 334 oe
Sp8 326 ko
Mypop 308 oe
Tfap4 302 oe
Arid5b 300 ko
Bach1 256 ko
Nr5a1 246 oe
Mef2c 239 ko
Ehf 235 ko
Esr1 231 oe
Vax2 227 ko
Rarb 221 oe
Hinfp 220 ko
Isl2 211 oe
Cdc5l 201 ko
Hic2 198 oe
Foxn2 196 oe
Hes7 190 oe
Gata1 186 ko
Nhlh1 185 ko
Zscan29 179 ko
Mitf 177 oe
Etv1 176 ko
Cebpd 174 oe
Zfp248 172 ko
Zfp558 172 ko
Nr2f2 170 oe
Sp6 170 ko
Zfp454 168 oe
Foxi3 164 oe
Duxbl1 162 oe
Lin54 162 ko
Tead2 162 oe
Pbx2 158 ko
Rest 157 ko
Glis3 155 oe
Zbtb26 155 oe
Mybl2 149 ko
Sohlh2 148 oe
Zfp276 148 ko
Pbx1 146 ko
Zfp69 146 ko
Zik1 146 ko
Bcl11b 144 ko
Mafb 144 ko
Tigd2 144 ko
Prox2 143 ko
Epas1 141 oe
Pax5 141 ko
Zfp90 139 ko
Pou6f1 138 ko
Tbr1 138 oe
Zfp652 138 oe
Zbtb20 137 oe
Zfp653 137 ko
Hes1 136 ko
Hoxa1 136 oe
Pitx2 136 oe
Zfp647 136 ko
Zzz3 135 ko
E2f5 134 ko
Klf9 134 ko
Zfp768 134 ko
Npas2 132 oe
Alx4 131 ko
Atf6 131 ko
Creb3l1 131 ko
Dlx1 131 ko
Dlx4 131 oe
Hlx 131 oe
Homez 131 ko
Kdm2b 131 ko
Msx1 131 oe
Mybl1 131 ko
Pax9 131 ko
Prrx2 131 ko
Six5 131 ko
Tcf7l2 131 ko
Tef 131 ko
Tfec 131 ko
Zkscan17 131 ko
