TF freq type
Zfp324 4851 ko
Hsf2 4102 oe
Atf6 988 oe
Zfp282 913 ko
Zscan20 817 ko
Sp6 588 oe
Etv1 543 oe
Pou6f1 537 ko
Arid5b 516 ko
Pbx2 465 ko
Gmeb1 403 oe
Zfp276 321 ko
Hes1 315 oe
Foxd2 313 ko
Mnt 312 ko
Mitf 305 oe
Zfp105 294 oe
Ar 288 oe
Zbtb20 272 ko
Zbtb37 258 ko
Zfp113 258 ko
Cxxc1 254 ko
Lcor 252 oe
Bhlha15 250 oe
Hinfp 250 ko
Tfec 250 oe
Zfp652 250 ko
Zfp768 249 ko
Plag1 245 oe
Pou1f1 243 oe
Vax2 234 ko
Ehf 230 ko
Mybl1 230 oe
Trp73 228 ko
Esr1 225 ko
Zkscan17 225 ko
Zfp90 222 ko
Mybl2 219 ko
Klf9 218 ko
Hsf4 217 ko
Etv4 216 ko
Gli3 216 oe
Kdm2b 216 oe
Pax9 216 ko
Sp8 216 ko
Arid3b 215 ko
Glis2 215 oe
Nhlh1 215 ko
Rest 215 ko
Sox8 215 oe
Zfp248 215 ko
Zscan29 215 ko
Meis1 214 ko
Tef 207 ko
Ovol1 205 oe
Dlx1 204 oe
Tal1 204 ko
Pou5f1 203 ko
Nr1h3 195 ko
Dpf3 193 oe
Foxf1 192 oe
Zbtb32 192 ko
E2f5 191 ko
Grhl2 191 ko
Phf21a 191 ko
Zfp300 188 ko
Otx2 187 oe
Zfp184 187 ko
Sp140 178 oe
Thrb 178 ko
Glis1 177 ko
Epas1 176 ko
Mypop 176 ko
Pbx1 176 ko
Setbp1 176 ko
Zbtb2 176 ko
Zfp69 176 ko
Hoxb4 172 ko
Ebf1 171 oe
Fosl1 168 ko
Zfp174 165 ko
Zfp691 164 ko
Cdc5l 163 ko
Lin54 162 ko
Sox4 162 ko
Grhl1 161 ko
Mafb 161 ko
Pou2f1 161 ko
Sox21 161 oe
Tigd2 159 ko
Bach1 155 ko
Foxn2 154 oe
Lhx2 154 ko
Hic2 153 ko
Mynn 153 ko
Myrf 153 ko
Pax8 153 oe
Prox2 153 ko
Zfp647 152 oe
Gli2 151 oe
