TF freq type
Zfp324 4851 ko
Gmeb1 1458 oe
Zfp276 1062 ko
Zfp282 1005 ko
Zscan20 860 ko
Nr1h3 727 ko
Zfp113 659 ko
Bhlha15 604 oe
Pou6f1 548 ko
Zik1 537 ko
Zbtb32 459 ko
Tal1 451 oe
Hsf2 430 oe
Foxd2 429 ko
Sp6 355 oe
Cxxc5 309 ko
Duxbl1 299 oe
Pou2f1 294 ko
Arid5b 288 ko
Mynn 253 ko
Plag1 250 oe
Mafb 228 ko
Cebpd 212 oe
Zfp768 211 ko
Bcl11b 199 ko
Sp8 198 ko
Nfe2 185 ko
Trp73 182 ko
Foxi3 178 oe
Mybl2 178 ko
Ehf 177 ko
Creb3l1 173 ko
Pax9 173 ko
Zscan29 173 ko
Cdc5l 169 ko
Tfap4 167 oe
Nr5a1 159 oe
Vax2 159 ko
Grhl1 158 ko
Mnt 157 ko
Homez 154 ko
Kdm2b 154 ko
Zfp558 154 ko
Esr1 153 oe
Bach1 151 ko
Hes1 150 ko
Zbtb2 150 ko
Nhlh1 146 ko
Hinfp 143 ko
Klf9 143 ko
Lin54 143 ko
Zfp248 143 ko
Etv1 142 ko
Zbtb20 142 oe
Cxxc1 140 ko
Nr2f2 140 oe
Glis3 137 oe
Zfp691 137 ko
Mef2c 130 ko
Zfp647 129 ko
Cphx3 127 ko
Etv4 127 ko
Hsf4 127 ko
Zfp184 127 oe
Zfp296 127 ko
Zfp454 127 oe
Zfp90 127 ko
Pbx1 123 ko
Arid3b 122 ko
Isl2 121 oe
Setbp1 120 ko
Zfp652 120 oe
Zfp653 120 ko
Glis1 119 ko
Hoxb4 119 ko
Foxn2 118 oe
Hoxa1 118 oe
Sohlh2 118 oe
Zzz3 118 ko
Gli3 117 ko
Hlx 117 oe
Zfp300 117 ko
Lhx2 114 ko
Meis1 114 ko
Msx1 114 oe
Rarb 114 oe
Tef 114 ko
Tigd2 114 ko
Hesx1 112 oe
Batf3 111 ko
Tet1 111 oe
Hes7 110 ko
Hnf4a 110 ko
Sox4 110 ko
Arid2 109 ko
Hes5 109 oe
Lin28b 109 ko
Mzf1 109 ko
Naif1 109 ko
Onecut1 109 oe
