TF freq type
Zbtb32 760 ko
Mypop 434 oe
Zfp324 425 ko
Zscan29 309 ko
Gmeb1 252 oe
Epas1 204 oe
Lin54 184 ko
Zscan20 169 ko
Zkscan17 160 ko
Zfp113 144 ko
Zfp248 119 ko
Cxxc5 110 oe
Zfp282 97 ko
Klf9 94 ko
Zfp653 84 ko
Cxxc1 81 ko
Tef 72 ko
Mynn 71 ko
Zbtb20 71 oe
Cdc5l 64 ko
Setbp1 58 ko
Bach1 47 ko
Zbtb45 46 ko
Hsf4 45 ko
Phf21a 39 ko
Zbtb26 39 oe
Foxn2 37 oe
Kdm2b 37 ko
Sp140 37 ko
Zzz3 37 ko
Mnt 36 ko
Pou2f1 35 oe
Homez 34 ko
Pou6f1 34 ko
Hinfp 32 ko
Kdm2a 32 ko
Zik1 32 ko
Lcor 29 ko
E2f5 27 ko
Tigd2 27 ko
Pbx2 25 ko
Arid5b 24 ko
Mybl2 23 ko
Prdm11 23 ko
Naif1 21 ko
Bcl11b 20 ko
Arid2 19 ko
Jrkl 16 ko
Zfp652 16 oe
Zfp691 16 ko
Zfp90 16 ko
Arid3b 15 ko
Zbtb2 15 ko
Atf6 14 ko
Zfp276 14 ko
Zfp69 14 ko
Hmbox1 13 ko
Rest 13 ko
Zbtb37 13 ko
