TF freq type
Arid5b 21736 ko
Atf6 21736 ko
Cxxc1 21736 ko
Etv1 21736 oe
Foxd2 21736 ko
Gmeb1 21736 oe
Hes1 21736 oe
Hsf2 21736 oe
Mitf 21736 oe
Pbx2 21736 ko
Zfp105 21736 oe
Zfp282 21736 ko
Zfp324 21736 ko
Zscan20 21736 ko
Trp73 21715 ko
Bach1 20111 ko
Zfp113 20067 ko
Hinfp 19297 ko
Rest 18584 ko
Etv4 18492 ko
Zfp652 18105 ko
Mybl1 17953 oe
Bhlha15 17444 oe
Plag1 16538 oe
Lcor 16344 oe
Zfp276 16289 ko
Tfec 15309 oe
Sp6 14701 ko
Zfp691 14667 oe
Zkscan17 14215 ko
Nfe2 14146 ko
Pou1f1 14093 oe
Pou6f1 14074 ko
Sp8 14046 ko
Ar 13967 oe
Vax2 13850 ko
Pou2f1 12979 ko
Ehf 12904 ko
Kdm2b 12023 oe
E2f5 11910 ko
Zfp90 11691 ko
Zik1 11572 oe
Zfp69 11010 ko
Glis2 11001 oe
Epas1 10787 oe
Gata1 10624 ko
Zfp296 10575 oe
Gli3 10413 oe
Zbtb32 10295 ko
Sox8 10286 oe
Tead2 10218 oe
Zbtb26 9989 oe
Mypop 9872 oe
Ovol1 9865 oe
Zfp248 9788 ko
Nhlh1 9697 ko
Zbtb20 9620 ko
Mnt 9474 ko
Tef 9234 ko
Dlx1 9124 oe
Ebf1 8950 oe
Zscan29 8931 ko
Zfp647 8884 oe
Arid2 8744 ko
Dpf3 8720 oe
Bcl11b 8713 ko
Otx2 8504 oe
Sp140 8426 oe
Tfap4 8420 oe
Foxn2 8371 oe
Zfp768 8364 ko
Pbx1 8303 ko
Foxf1 8299 oe
Tigd2 8054 ko
Esr1 8005 ko
Lin54 7886 ko
Klf9 7793 ko
Mybl2 7733 ko
Mafb 7649 ko
Fosl1 7565 ko
Hsf4 7471 ko
Tal1 7415 ko
Sox21 7371 oe
Jrkl 7340 oe
Prdm11 7198 ko
Prox2 7096 ko
Mef2c 6853 ko
Zbtb37 6853 ko
Pax8 6705 oe
Grhl1 6686 ko
Phf21a 6662 ko
Tcf7l2 6600 ko
Rarb 6598 ko
Zfp300 6590 ko
Hlx 6577 oe
Six5 6576 ko
Nr6a1 6572 oe
Zbtb45 6475 ko
Pax5 6464 ko
Gli2 6421 oe
Pax3 6393 ko
Sox9 6339 ko
Hnf4g 6330 oe
Alx4 6306 ko
Zzz3 6292 ko
Sox6 6250 ko
Nr5a1 6212 ko
Homez 6190 ko
Pou4f1 6180 oe
Nr2f2 6123 ko
Prrx2 6103 ko
Nr1h3 6095 ko
Dmrt2 6075 ko
Glis3 6027 oe
Zfp653 6020 ko
Creb3l1 6003 ko
Duxbl1 5887 ko
Batf3 5799 ko
Kdm2a 5799 ko
Lhx2 5745 ko
Ovol2 5662 ko
Npas2 5651 ko
Hes7 5628 ko
Myrf 5576 ko
Thrb 5570 ko
Fbxl19 5551 oe
Sox15 5535 ko
Hic2 5529 ko
Hnf1b 5500 ko
Grhl2 5485 ko
Isl2 5477 ko
Mafa 5445 ko
Hand2 5444 ko
Zbtb2 5439 ko
Pax6 5434 ko
Cphx3 5403 ko
Gcm2 5389 ko
Vdr 5384 ko
Foxi3 5334 ko
Mzf1 5320 ko
Zfp454 5300 ko
Mlxipl 5291 ko
Ppara 5236 ko
Cebpa 5234 ko
Sox4 5234 ko
Foxc2 5230 ko
Zfp184 5220 ko
Six3 5199 ko
Gata2 5185 ko
Hmbox1 5185 ko
Zfp128 5168 ko
Hlf 5143 ko
Glis1 5137 ko
Tbr1 5131 ko
Msc 5130 ko
Sox12 5123 ko
Cdc5l 5091 ko
Irx2 5091 ko
Cebpe 5078 ko
Hesx1 5069 ko
Zfp558 5060 ko
Tet1 5051 oe
Naif1 5027 ko
Prdm14 5009 ko
Hoxb4 4980 ko
Hnf1a 4941 ko
Hsf5 4918 ko
Setbp1 4887 ko
Meis1 4884 ko
Foxf2 4869 ko
Hhex 4853 oe
Dbx2 4844 ko
Pou5f1 4843 ko
Foxh1 4835 ko
Hoxa9 4827 ko
Meox2 4802 ko
Cebpd 4795 ko
Zbtb12 4795 ko
Rorb 4782 ko
Dmrta1 4776 ko
Nkx2-3 4736 ko
Mynn 4730 ko
Pax9 4700 ko
Hnf4a 4696 ko
Irf6 4678 ko
Sohlh2 4667 ko
Zfp174 4667 ko
Tcf21 4659 ko
Pou3f2 4658 ko
Nr3c2 4653 ko
Onecut1 4649 ko
Msx1 4644 ko
Pitx2 4625 ko
Hoxa1 4603 ko
Mecom 4601 oe
Nfix 4590 ko
Dlx4 4588 ko
Sox13 4561 ko
Lin28b 4559 ko
Lbx2 4554 ko
Hes5 4549 ko
Zscan4f 4549 ko
Arid3b 4537 ko
Dmrta2 4526 ko
Lhx4 4526 ko
Onecut2 4519 oe
Cxxc5 4511 ko
Nkx6-2 4509 ko
Hey1 4508 ko
Zfp423 4499 oe
