TF freq type
Zfp324 4851 ko
Zscan20 1304 ko
Gmeb1 1002 oe
Zfp113 673 ko
Cxxc1 646 ko
Pou2f1 582 oe
Bhlha15 562 oe
Foxd2 538 ko
Bach1 525 ko
Hsf2 522 oe
Zfp276 509 ko
Nfe2 508 ko
Zbtb32 473 ko
Cxxc5 404 oe
Trp73 386 ko
Mynn 344 ko
Nr1h3 344 ko
Cdc5l 307 ko
Bcl11b 289 ko
Plag1 264 oe
Tal1 261 oe
Tfap4 261 oe
Zfp282 259 ko
Zfp184 248 oe
Duxbl1 233 oe
Sp8 233 ko
Esr1 226 oe
Cebpd 216 oe
Arid5b 203 ko
Mef2c 203 ko
Etv4 200 ko
Zbtb2 198 ko
Fosl1 189 oe
Ehf 166 ko
Hinfp 161 ko
Vax2 154 ko
Nr5a1 150 oe
Homez 146 ko
Kdm2b 146 ko
Zfp558 140 ko
Foxi3 139 oe
Rarb 135 oe
Gata1 133 ko
Zbtb37 133 ko
Lin54 131 ko
Zscan29 130 ko
Hes7 127 oe
Rest 127 ko
Nhlh1 124 ko
Nr2f2 124 oe
Pou6f1 124 ko
Zfp248 124 ko
Arid2 121 ko
Foxn2 121 oe
Glis3 121 oe
Mitf 121 oe
Tead2 121 oe
Zfp652 121 oe
Zik1 121 ko
Etv1 120 ko
Zbtb26 120 oe
Zfp454 118 oe
Pbx1 117 ko
Cphx3 116 ko
Six5 116 ko
Zfp90 116 ko
Creb3l1 115 ko
Mybl2 114 ko
Tigd2 114 ko
E2f5 113 ko
Isl2 113 oe
Hlx 112 oe
Zfp653 112 ko
Zfp768 112 ko
Pou5f1 111 ko
Sohlh2 111 oe
Sp6 111 ko
Hoxa1 110 oe
Hes1 109 ko
Msx1 109 oe
Batf3 108 ko
Gli3 106 ko
Tef 106 ko
Pax6 103 ko
Zfp647 103 ko
Epas1 102 oe
Hes5 102 oe
Klf9 102 ko
Lin28b 102 ko
Meis1 102 ko
Onecut1 102 oe
Ar 101 ko
Atf6 101 ko
Hmbox1 101 ko
Mafb 101 ko
Mlxipl 101 ko
Mybl1 101 ko
Pou3f2 101 oe
Tfec 101 ko
Zzz3 101 ko
