TF freq type
Bhlha15 21736 oe
Cxxc1 21736 ko
Fosl1 21736 oe
Foxd2 21736 ko
Gmeb1 21736 oe
Hsf2 21736 oe
Nfe2 21736 ko
Nr1h3 21736 ko
Plag1 21736 oe
Pou2f1 21736 oe
Trp73 21736 ko
Zbtb32 21736 ko
Zfp113 21736 ko
Zfp282 21736 ko
Zfp324 21736 ko
Zscan20 21736 ko
Mynn 21735 ko
Etv4 21625 ko
Tal1 21516 oe
Zfp184 21355 oe
Sp8 21021 ko
Mypop 19528 oe
Tfap4 18810 oe
Arid5b 18500 ko
Bach1 15895 ko
Nr5a1 15510 oe
Mef2c 15415 ko
Ehf 15152 ko
Esr1 14846 oe
Vax2 14619 ko
Rarb 14285 oe
Hinfp 14172 ko
Isl2 13500 oe
Cdc5l 12210 ko
Hic2 12137 oe
Foxn2 11962 oe
Hes7 11564 oe
Gata1 11467 ko
Nhlh1 11316 ko
Zscan29 11079 ko
Mitf 10936 oe
Etv1 10747 ko
Cebpd 10685 oe
Zfp558 10632 ko
Zfp248 10589 ko
Sp6 10053 ko
Nr2f2 10014 oe
Zfp454 9945 oe
Foxi3 9710 oe
Duxbl1 9680 oe
Tead2 9659 oe
Lin54 9599 ko
Pbx2 9292 ko
Rest 9267 ko
Zbtb26 9066 oe
Glis3 9001 oe
Mybl2 8556 ko
Zfp276 8241 ko
Sohlh2 8182 oe
Zik1 8092 ko
Pbx1 8050 ko
Zfp69 7992 ko
Mafb 7929 ko
Tigd2 7874 ko
Bcl11b 7869 ko
Prox2 7770 ko
Pax5 7668 ko
Epas1 7634 oe
Zfp90 7525 ko
Pou6f1 7459 ko
Tbr1 7419 oe
Zfp652 7373 oe
Zbtb20 7355 oe
Zfp653 7263 ko
Hoxa1 7252 oe
Hes1 7246 ko
Zfp647 7241 ko
Pitx2 7233 oe
Zzz3 7205 ko
Klf9 7164 ko
Zfp768 7161 ko
E2f5 7159 ko
Npas2 7065 oe
Zkscan17 6995 ko
Tcf7l2 6927 ko
Dlx1 6923 ko
Creb3l1 6922 ko
Msx1 6798 oe
Tef 6735 ko
Alx4 6688 ko
Tfec 6639 ko
Atf6 6606 ko
Mybl1 6604 ko
Six5 6548 ko
Homez 6398 ko
Prrx2 6348 ko
Hlx 6347 oe
Kdm2b 6238 ko
Dlx4 6216 oe
Pax9 6201 ko
Sox4 6186 ko
Glis2 6080 oe
Hesx1 6060 ko
Dmrt2 6032 ko
Pax3 5953 ko
Prdm11 5942 ko
Nkx6-2 5932 oe
Hoxa9 5929 ko
Cxxc5 5904 oe
Hey1 5903 ko
Onecut1 5871 oe
Hes5 5836 oe
Zscan4f 5825 oe
Hhex 5811 ko
Zfp300 5783 ko
Nkx2-3 5780 oe
Zfp105 5778 ko
Lin28b 5775 ko
Phf21a 5774 ko
Cphx3 5743 ko
Ovol2 5743 ko
Hand2 5693 ko
Vdr 5617 ko
Irx2 5585 ko
Gli3 5576 ko
Lhx2 5575 ko
Tet1 5568 oe
Cebpa 5558 ko
Dbx2 5558 ko
Ovol1 5557 ko
Dmrta1 5556 oe
Hsf4 5552 ko
Mafa 5543 ko
Ebf1 5535 ko
Ppara 5535 ko
Hnf1b 5533 ko
Mlxipl 5532 ko
Pax6 5527 ko
Batf3 5516 ko
Zbtb2 5512 ko
Hnf4a 5482 ko
Sox21 5480 ko
Sox8 5475 ko
Thrb 5475 ko
Cebpe 5471 ko
Dpf3 5468 ko
Sox9 5468 ko
Sox6 5461 ko
Arid2 5451 ko
Prdm14 5444 ko
Foxf2 5443 ko
Myrf 5438 ko
Foxh1 5435 ko
Foxf1 5433 ko
Pou3f2 5403 oe
Foxc2 5400 ko
Msc 5397 ko
Glis1 5393 ko
Hnf1a 5378 oe
Mnt 5375 ko
Nr3c2 5360 ko
Gata2 5351 ko
Nr6a1 5307 ko
Rorb 5295 ko
Pou4f1 5282 ko
Hoxb4 5254 ko
Lcor 5254 ko
Grhl1 5253 oe
Nfix 5250 ko
Jrkl 5239 ko
Meox2 5239 oe
Tcf21 5239 ko
Kdm2a 5236 ko
Zbtb12 5214 ko
Mecom 5207 oe
Sox12 5200 ko
Fbxl19 5199 ko
Lhx4 5196 ko
Pax8 5186 ko
Pou1f1 5176 ko
Sox15 5141 ko
Zfp128 5141 ko
Sp140 5125 ko
Ar 5098 ko
Meis1 5098 ko
Naif1 5088 ko
Zfp691 5085 ko
Zfp296 5083 ko
Grhl2 5077 oe
Zbtb45 5063 ko
Arid3b 5058 ko
Hsf5 5014 ko
Zfp174 5005 ko
Hnf4g 5003 ko
Setbp1 5003 ko
Pou5f1 4940 ko
Gli2 4933 ko
Hlf 4932 ko
Irf6 4921 ko
Otx2 4919 ko
Dmrta2 4916 ko
Gcm2 4911 ko
Zbtb37 4906 ko
Zfp423 4889 ko
Hmbox1 4876 ko
Mzf1 4874 ko
Sox13 4870 ko
Lbx2 4853 ko
Six3 4835 ko
Onecut2 4819 oe
