TF freq type
Jrkl 48 oe
Setbp1 17 oe
Zbtb26 17 oe
Zbtb20 15 ko
Epas1 6 oe
Cdc5l 5 ko
Klf9 5 oe
Arid2 4 oe
Foxn2 4 oe
Hmbox1 4 oe
Homez 4 oe
Mybl2 4 ko
Pbx2 4 oe
Tigd2 4 oe
Zbtb32 4 ko
Zkscan17 4 ko
Hsf4 3 oe
Zik1 3 oe
Atf6 1 oe
Bach1 1 oe
Bcl11b 1 ko
Cxxc5 1 oe
E2f5 1 oe
Gmeb1 1 oe
Hinfp 1 ko
Kdm2b 1 oe
Lcor 1 oe
Lin54 1 oe
Mnt 1 oe
Mynn 1 ko
Mypop 1 oe
Naif1 1 ko
Phf21a 1 oe
Pou6f1 1 oe
Prdm11 1 oe
Sp140 1 oe
Tef 1 oe
Zbtb2 1 ko
Zbtb37 1 oe
Zfp113 1 ko
Zfp276 1 oe
Zfp282 1 ko
Zfp324 1 ko
Zfp653 1 oe
Zfp69 1 ko
Zfp691 1 oe
Zfp90 1 ko
Zscan20 1 ko
Zzz3 1 oe
