TF freq type
Zbtb20 516 ko
Zfp324 455 ko
Setbp1 381 ko
Homez 345 ko
Klf9 272 ko
Mnt 175 ko
Pou6f1 175 ko
Zkscan17 166 ko
Cxxc5 108 ko
Epas1 108 ko
Zfp282 108 ko
Zscan29 108 ko
Kdm2a 99 ko
Zbtb45 83 ko
Lin54 71 ko
Tef 70 ko
Zscan20 70 ko
Kdm2b 68 oe
Zfp248 63 ko
Mypop 61 ko
Gmeb1 60 oe
Pbx2 57 ko
Phf21a 45 ko
Cxxc1 44 ko
Lcor 44 oe
Zfp652 36 ko
Arid5b 33 ko
Zfp113 33 ko
Atf6 31 oe
Jrkl 31 ko
Arid3b 27 ko
Zfp653 27 ko
Zbtb37 25 ko
Hsf4 23 ko
E2f5 18 ko
Hinfp 16 ko
Prdm11 16 ko
Zbtb26 16 ko
Zfp276 16 ko
Zfp691 16 ko
Zfp90 16 ko
Naif1 15 ko
Bach1 13 ko
Cdc5l 13 ko
Sp140 13 oe
Zzz3 13 ko
Bcl11b 12 ko
Mynn 12 ko
Tigd2 11 ko
Arid2 9 ko
Hmbox1 9 ko
Mybl2 9 ko
Zbtb2 9 ko
Zbtb32 9 ko
Zik1 9 ko
Foxn2 8 oe
Pou2f1 8 ko
Rest 8 ko
Zfp69 8 ko
