TF freq type
Arid5b 21736 ko
Etv1 21736 oe
Foxd2 21736 ko
Hinfp 21736 ko
Hsf2 21736 oe
Kdm2b 21736 oe
Mnt 21736 ko
Pou6f1 21736 ko
Rest 21736 ko
Sp6 21736 oe
Zfp276 21736 ko
Zfp282 21736 ko
Zfp324 21736 ko
Zscan20 21736 ko
Mitf 21032 oe
Cxxc1 20161 ko
Zbtb32 20104 ko
Zfp768 19916 ko
Zfp652 19843 ko
Atf6 19236 oe
Tfec 18539 oe
Arid2 17796 ko
Hsf4 17746 ko
Hes1 16513 oe
Pou1f1 16277 oe
Zbtb20 15868 ko
Esr1 15730 ko
Gmeb1 15658 oe
Ar 15552 oe
Pou2f1 14892 ko
Ehf 14843 ko
Bcl11b 14690 ko
E2f5 14341 ko
Sp140 14068 oe
Trp73 14051 ko
Ebf1 13007 oe
Mybl2 12962 ko
Zfp90 12747 ko
Vax2 12572 ko
Bach1 12538 ko
Bhlha15 12449 oe
Fosl1 12418 ko
Pbx1 12053 ko
Klf9 11784 ko
Zfp105 11355 oe
Gli3 11253 oe
Mybl1 10895 oe
Nhlh1 10522 ko
Hic2 10340 ko
Sp8 10246 ko
Pax9 10200 ko
Sox8 10178 oe
Plag1 9659 oe
Gli2 9606 oe
Zfp558 9591 ko
Duxbl1 9516 ko
Tet1 9474 oe
Zfp647 9431 oe
Zik1 9279 ko
Zfp113 9270 ko
Etv4 9224 ko
Ovol1 9163 oe
Zfp653 9151 ko
Zfp300 8919 ko
Tef 8915 ko
Creb3l1 8869 ko
Cphx3 8839 ko
Hlx 8780 oe
Glis1 8714 ko
Sox4 8709 ko
Grhl1 8701 ko
Setbp1 8696 ko
Hoxb4 8572 ko
Zfp184 8561 ko
Phf21a 8392 ko
Dpf3 8370 oe
Tal1 8251 ko
Pou5f1 8031 ko
Pax6 7955 ko
Zfp296 7908 oe
Zfp248 7874 ko
Mzf1 7725 ko
Batf3 7653 ko
Nr1h3 7596 ko
Hhex 7523 oe
Lhx2 7496 ko
Meis1 7403 ko
Mafb 7372 ko
Foxf1 7296 oe
Otx2 7165 oe
Thrb 7092 ko
Hnf4a 7037 ko
Arid3b 7030 ko
Pax8 7016 oe
Mafa 7000 ko
Zbtb37 6926 ko
Glis2 6911 oe
Hes7 6866 ko
Lin54 6864 ko
Zbtb45 6831 ko
Nfe2 6791 ko
Sox21 6568 oe
Hnf4g 6457 oe
Dlx1 6426 oe
Foxi3 6420 ko
Grhl2 6410 ko
Pou4f1 6387 oe
Zkscan17 6369 ko
Nr3c2 6265 ko
Mecom 6263 oe
Hnf1a 6221 ko
Mynn 6177 ko
Naif1 6169 ko
Zbtb2 6156 ko
Alx4 6155 ko
Nr5a1 6096 ko
Pax5 6017 ko
Mef2c 5970 ko
Myrf 5959 ko
Kdm2a 5920 ko
Sox6 5886 ko
Foxn2 5881 oe
Zbtb12 5805 ko
Cebpe 5788 ko
Zbtb26 5740 ko
Hoxa9 5678 ko
Jrkl 5677 ko
Glis3 5621 oe
Onecut1 5604 ko
Zfp69 5594 ko
Isl2 5572 ko
Zfp174 5562 ko
Pax3 5548 ko
Nfix 5544 ko
Cdc5l 5542 ko
Mlxipl 5508 ko
Gata2 5496 ko
Homez 5481 ko
Onecut2 5455 oe
Tcf21 5450 ko
Lcor 5447 oe
Nr2f2 5420 ko
Epas1 5409 ko
Tcf7l2 5379 ko
Vdr 5366 ko
Nr6a1 5365 oe
Sox12 5348 ko
Meox2 5345 ko
Irf6 5343 ko
Sox13 5343 ko
Hoxa1 5325 ko
Pbx2 5290 ko
Foxh1 5288 ko
Nkx2-3 5283 ko
Hsf5 5270 ko
Zfp691 5261 ko
Rarb 5259 ko
Cebpa 5250 ko
Six3 5198 ko
Gcm2 5185 ko
Hmbox1 5182 ko
Zscan29 5124 ko
Lin28b 5122 ko
Cebpd 5116 ko
Zzz3 5091 ko
Fbxl19 5055 oe
Hesx1 5054 ko
Zfp423 5021 oe
Prdm14 5001 ko
Ppara 4994 ko
Hnf1b 4966 ko
Msc 4944 ko
Msx1 4935 ko
Hey1 4929 ko
Lhx4 4926 ko
Rorb 4924 ko
Tfap4 4922 ko
Sox15 4917 ko
Prrx2 4884 ko
Gata1 4872 ko
Dmrt2 4867 ko
Tead2 4866 ko
Zfp128 4866 ko
Tigd2 4859 ko
Dmrta2 4827 ko
Mypop 4810 ko
Irx2 4755 ko
Nkx6-2 4740 ko
Dmrta1 4737 ko
Tbr1 4736 ko
Zfp454 4735 ko
Pou3f2 4709 ko
Hlf 4657 ko
Lbx2 4646 ko
Sohlh2 4631 ko
Npas2 4630 ko
Pitx2 4598 ko
Prox2 4590 ko
Prdm11 4581 ko
Six5 4581 ko
Zscan4f 4581 ko
Hes5 4567 ko
Dlx4 4539 ko
Hand2 4530 ko
Cxxc5 4517 ko
Dbx2 4515 ko
Sox9 4488 ko
Foxf2 4463 ko
Ovol2 4458 ko
Foxc2 4448 ko
