TF freq type
Zbtb20 883 ko
Jrkl 420 oe
Klf9 341 ko
Mybl2 215 ko
Homez 162 oe
Hmbox1 151 oe
Cdc5l 131 oe
Pbx2 130 oe
Zbtb32 121 ko
Zbtb26 106 oe
Foxn2 104 oe
Bach1 103 oe
Tigd2 94 oe
Epas1 81 oe
Tef 67 oe
Bcl11b 66 ko
Zfp324 66 ko
Kdm2a 65 oe
E2f5 64 oe
Zfp276 64 ko
Hsf4 60 oe
Setbp1 53 oe
Arid3b 49 oe
Atf6 49 oe
Lcor 49 oe
Zfp69 49 ko
Arid2 48 oe
Zkscan17 48 ko
Cxxc5 44 ko
Zzz3 44 oe
Gmeb1 41 oe
Sp140 37 oe
Zfp282 37 ko
Zfp90 37 ko
Lin54 30 ko
Zscan20 30 oe
Cxxc1 29 ko
Zbtb2 29 ko
Zik1 29 oe
Zfp653 27 oe
Kdm2b 25 ko
Prdm11 25 oe
Zfp691 25 oe
Zbtb37 18 oe
Hinfp 17 oe
Mynn 17 ko
Mypop 17 ko
Phf21a 17 oe
Rest 17 oe
Zfp113 17 oe
Arid5b 15 ko
Pou6f1 15 oe
Zbtb45 15 ko
Zscan29 15 oe
Mnt 14 oe
Zfp652 14 oe
Naif1 13 ko
Pou2f1 12 oe
Zfp248 11 ko
