TF1 TF2 TF3 z-score.sum freq TF1_type TF2_type TF3_type
Zfp324 Zscan20 Sp8 115 20 ko ko ko
Zfp324 Zscan20 Trp73 113 20 ko ko ko
Zfp324 Zscan20 Pou2f1 112 20 ko ko ko
Zfp324 Zscan20 Zbtb32 112 20 ko ko ko
Zfp324 Zscan20 Nfe2 111 20 ko ko ko
Zfp324 Zscan20 Tal1 110 20 ko ko oe
Zfp324 Zscan20 Vax2 110 20 ko ko ko
Zfp324 Zscan20 Esr1 109 20 ko ko oe
Zfp324 Zscan20 Hinfp 108 20 ko ko ko
Zfp324 Zscan20 Nhlh1 108 20 ko ko ko
Zfp324 Zscan20 Kdm2b 107 20 ko ko ko
Zfp324 Zscan20 Lin54 107 20 ko ko ko
Zfp324 Zscan20 Etv4 106 20 ko ko oe
Zfp324 Zscan20 Fosl1 106 20 ko ko oe
Zfp324 Zscan20 Zfp184 106 20 ko ko oe
Zfp324 Zscan20 Zfp652 106 20 ko ko oe
Zfp324 Zscan20 Ehf 105 20 ko ko ko
Zfp324 Zscan20 Mafb 105 20 ko ko ko
Zfp324 Zscan20 Mnt 105 20 ko ko ko
Zfp324 Zscan20 Tfec 105 20 ko ko oe
Zfp324 Zscan20 Zfp300 105 20 ko ko ko
Zfp324 Zscan20 Duxbl1 104 20 ko ko oe
Zfp324 Zscan20 Ebf1 104 20 ko ko oe
Zfp324 Zscan20 Pbx1 104 20 ko ko oe
Zfp324 Zscan20 Arid2 103 20 ko ko ko
Zfp324 Zscan20 Creb3l1 103 20 ko ko ko
Zfp324 Zscan20 Glis3 103 20 ko ko oe
Zfp324 Foxd2 Trp73 103 20 ko ko ko
Zfp324 Zscan20 Zfp105 103 20 ko ko oe
Zfp324 Zscan20 Zscan29 103 20 ko ko ko
Zfp324 Zscan20 Epas1 102 20 ko ko oe
Zfp324 Zscan20 Homez 102 20 ko ko ko
Zfp324 Zscan20 Mypop 102 20 ko ko oe
Zfp324 Zscan20 Nr5a1 102 20 ko ko oe
Zfp324 Zscan20 Pax9 102 20 ko ko ko
Zfp324 Zscan20 Pou5f1 102 20 ko ko ko
Zfp324 Zscan20 Rarb 102 20 ko ko oe
Zfp324 Zscan20 Tead2 102 20 ko ko ko
Zfp324 Zscan20 Zbtb45 102 20 ko ko ko
Zfp324 Zscan20 Zfp248 102 20 ko ko ko
Zfp324 Zscan20 Zfp296 102 20 ko ko oe
Zfp324 Zscan20 Zfp558 102 20 ko ko ko
Zfp324 Zscan20 Zfp647 102 20 ko ko oe
Zfp324 Zscan20 Zfp653 102 20 ko ko ko
Zfp324 Zscan20 Cebpd 101 20 ko ko oe
Zfp324 Zscan20 Cphx3 101 20 ko ko oe
Zfp324 Zscan20 Cxxc5 101 20 ko ko ko
Zfp324 Zscan20 Foxi3 101 20 ko ko oe
Zfp324 Zscan20 Gli3 101 20 ko ko oe
Zfp324 Zscan20 Klf9 101 20 ko ko ko
Zfp324 Zscan20 Pou1f1 101 20 ko ko oe
