TF1 TF2 z-score.sum freq TF1_type TF2_type
Zfp324 Zfp282 32 12 ko ko
Zfp324 Zkscan17 53 10 ko ko
Zfp324 Klf9 48 10 ko ko
Zfp324 Zbtb20 44 10 ko ko
Zbtb32 Zkscan17 44 10 ko ko
Zfp324 Pou6f1 41 10 ko ko
Zfp324 Gmeb1 33 10 ko oe
Zfp324 Zscan20 30 10 ko ko
Zbtb32 Pou6f1 28 10 ko ko
Zbtb32 Setbp1 45 9 ko ko
Zbtb32 Klf9 44 9 ko ko
Zfp324 Setbp1 43 9 ko ko
Zfp324 Mnt 37 9 ko ko
Zfp324 Epas1 34 9 ko oe
Zfp324 Bach1 28 9 ko ko
Zfp324 Zfp248 26 9 ko ko
Zfp324 Lin54 24 9 ko ko
Zbtb32 Zfp324 64 8 ko ko
Zbtb32 Gmeb1 43 8 ko oe
Zfp324 Kdm2b 43 8 ko ko
Setbp1 Zkscan17 39 8 ko ko
Zbtb32 Lin54 36 8 ko ko
Zbtb32 Zfp248 34 8 ko ko
Setbp1 Pou6f1 33 8 ko ko
Zfp324 Zscan29 32 8 ko ko
Zbtb32 Zfp113 31 8 ko ko
Zbtb32 Zscan20 30 8 ko ko
Zbtb32 Zfp282 29 8 ko ko
Zbtb32 Zik1 24 8 ko oe
Zfp324 Cxxc1 23 8 ko ko
Zbtb32 Zfp653 23 8 ko ko
Setbp1 Zfp282 21 8 ko ko
Zbtb32 Cxxc1 20 8 ko ko
Zbtb32 Mynn 19 8 ko ko
Zbtb32 Naif1 18 8 ko ko
Zbtb32 Zscan29 56 7 ko ko
Zbtb20 Klf9 50 7 ko ko
Zbtb32 Cxxc5 44 7 ko ko
Zfp324 Homez 36 7 ko ko
Setbp1 Klf9 34 7 ko ko
Setbp1 Mnt 29 7 ko ko
Zbtb32 Bach1 28 7 ko ko
Zbtb20 Epas1 27 7 ko oe
Setbp1 Zbtb20 27 7 ko ko
Zfp324 Mypop 25 7 ko oe
Zbtb32 Epas1 24 7 ko oe
Zbtb32 Kdm2b 24 7 ko ko
Zbtb32 Zbtb20 24 7 ko ko
Zbtb32 Homez 22 7 ko ko
Zbtb20 Pbx2 22 7 ko oe
Setbp1 Gmeb1 21 7 ko oe
Zbtb20 Zfp282 18 7 ko ko
Zfp324 Tef 17 7 ko ko
Zfp324 Zfp653 17 7 ko ko
Zbtb32 Tef 16 7 ko ko
Zbtb20 Homez 38 6 ko ko
Zbtb20 Jrkl 33 6 ko oe
Zbtb32 Mypop 32 6 ko oe
Zbtb32 Mybl2 31 6 ko ko
Zfp324 E2f5 29 6 ko ko
Zbtb20 Setbp1 29 6 ko ko
Setbp1 Homez 23 6 ko ko
Zfp324 Mybl2 22 6 ko ko
Zscan29 Gmeb1 20 6 ko oe
Zfp324 Cxxc5 19 6 ko ko
Zfp324 Zbtb45 19 6 ko ko
Zbtb20 Zkscan17 19 6 ko ko
Setbp1 Epas1 17 6 ko oe
Zbtb32 Cdc5l 16 6 ko ko
Zbtb20 Kdm2b 16 6 ko ko
Zbtb32 Tigd2 16 6 ko ko
Setbp1 Zfp248 16 6 ko ko
Zbtb32 Zfp276 16 6 ko ko
Zfp324 Zfp113 15 6 ko ko
Setbp1 Zscan20 15 6 ko ko
Zbtb20 Zscan20 15 6 ko ko
Zbtb32 Zzz3 15 6 ko ko
Zbtb32 Arid2 14 6 ko ko
Zfp324 Arid5b 14 6 ko ko
Zbtb32 Mnt 14 6 ko ko
Zfp324 Zfp652 14 6 ko oe
Zbtb20 Cxxc1 12 6 ko ko
Zbtb32 Hinfp 12 6 ko ko
Jrkl Epas1 24 5 oe oe
Setbp1 Kdm2b 24 5 ko ko
Homez Epas1 23 5 ko oe
Zfp324 Jrkl 21 5 ko oe
Zfp324 Zbtb32 21 5 ko ko
Zbtb20 Mnt 20 5 ko ko
Setbp1 Lin54 19 5 ko ko
Klf9 Mybl2 19 5 ko ko
Zbtb20 Mybl2 19 5 ko ko
Homez Zkscan17 18 5 ko ko
Zbtb20 Pou6f1 17 5 ko ko
Zfp324 Arid2 16 5 ko ko
Zkscan17 Klf9 16 5 ko ko
Klf9 Pou6f1 16 5 ko ko
Setbp1 Zbtb45 16 5 ko ko
Zfp324 Kdm2a 15 5 ko ko
Zbtb32 Zbtb26 15 5 ko oe
