,Naive_Kaech_Kaech,Naive_Kaech_Chung,Naive_Mackay_Chung,Naive_MilnerAug_Chung,Naive_Renkema_Chung,Naive_Scott_Scott,MP_Kaech_Chung,MP_Kaech_Kaech,MP_Kaech_Scott,MP_MilnerAug_Kaech,MP_MilnerAug_Scott,MP_MilnerAug_Chung,TE_Kaech_Chung,TE_Kaech_Kaech,TE_Kaech_Scott,TE_MilnerAug_Kaech,TE_MilnerAug_Scott,TE_MilnerAug_Chung,TCM_Mackay_Chung,TCM_MilnerAug_Chung,TCM_Renkema_Chung,TEM_Mackay_Chung,TEM_MilnerAug_Chung,TEM_Renkema_Chung,TRM.IEL_Milner17_Milner17,TRM.IEL_MilnerApr_Chung,TRM.IEL_MilnerApr_Milner17,TRM.IEL_Milner17_Chung,TRM.liver_Mackay_Chung,TexProg1_Beltra_Beltra,TexProg2_Beltra_Beltra,TexProg_Beltra_Chung,TexProg_Hudson_Chung,TexProg_Hudson_Beltra,TexInt_Beltra_Beltra,TexInt_Beltra_Chung,TexInt_Hudson_Chung,TexInt_Hudson_Beltra,TexTerm_Beltra_Beltra,TexTerm_Beltra_Chung,TexTerm_Hudson_Chung,TexTerm_Hudson_Beltra
Ubl5,318.24,318.24,273.63,230.25,193.41,165.89,352.48,352.48,352.48,571.16,571.16,571.16,366.96,366.96,366.96,434.57,434.57,434.57,361.65,323.05,125.96,401.35,339.87,117.2,440.35,512.67,512.67,440.35,432.96,266.14,384,266.14,311.7,311.7,435.93,435.93,304.06,304.06,411.92,411.92,379.32,379.32
Ttc32,6.98,6.98,7.11,9.71,0,8.94,11.09,11.09,11.09,4.99,4.99,4.99,8.77,8.77,8.77,13.09,13.09,13.09,11.9,2.87,0,10.18,7.88,0,7.43,5.23,5.23,7.43,12.99,11.36,8.76,11.36,15.78,15.78,6.31,6.31,9.44,9.44,9.49,9.49,9.37,9.37
Gm14719,0,0,0,0,0,0,1.43,1.43,1.43,0,0,0,0,0,0,0,0,0,1.27,3.39,0,0,0,0,0,0,0,0,0,0,29.4,0,1.1,1.1,0,0,2.44,2.44,0.77,0.77,1.79,1.79
1700037H04Rik,24.5,24.5,16.51,13.6,6.6,39.28,28.64,28.64,28.64,23.89,23.89,23.89,22.56,22.56,22.56,28.09,28.09,28.09,25.22,15.89,0,26.38,15.53,0,22.03,15.42,15.42,22.03,21.75,52.69,48.16,52.69,55.49,55.49,74.54,74.54,44.47,44.47,33.52,33.52,40.03,40.03
Lrp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iqck,0,0,0.25,0.25,18.35,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.11,0,0.17,0,0,0,2.84,2.84,0,0.19,0.37,0,0.37,1.04,1.04,0,0,0,0,0.36,0.36,0.05,0.05
Scn7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26624,0,0,0,3.26,0,0.35,0.2,0.2,0.2,1.45,1.45,1.45,0.09,0.09,0.09,2.25,2.25,2.25,0.04,0.51,0,0.04,0.45,0,1.9,0.43,0.43,1.9,0.05,0,0,0,0.23,0.23,0,0,0,0,0,0,0.18,0.18
Sardhos,0,0,0,0,183.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp747,10.91,10.91,8.27,10.83,0,22.78,12.74,12.74,12.74,7.72,7.72,7.72,10.71,10.71,10.71,5.18,5.18,5.18,13.26,2.98,0,16.51,9.94,0,3.96,8.63,8.63,3.96,10.74,11.81,17.53,11.81,18.99,18.99,18.22,18.22,17.31,17.31,21.25,21.25,13.17,13.17
2810454H06Rik,0,0,0.13,2.75,0,1.6,0.35,0.35,0.35,0.56,0.56,0.56,0.2,0.2,0.2,0.91,0.91,0.91,0.6,0.97,7.72,1.14,0.09,3.19,0.93,0.99,0.99,0.93,1.19,0.32,0,0.32,0.48,0.48,0.34,0.34,0.11,0.11,0.81,0.81,0.35,0.35
Gm15891,0,0,0,0,0,0,0,0,0,0.88,0.88,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cnot6l,103.04,103.04,64.57,56.22,21.83,108.46,252.8,252.8,252.8,110.34,110.34,110.34,214.93,214.93,214.93,103.06,103.06,103.06,142.13,50.02,31.07,142.28,39.89,22.44,91.77,33.54,33.54,91.77,138.01,189.96,174.83,189.96,109.3,109.3,151.47,151.47,60.32,60.32,119.98,119.98,74.41,74.41
Gdi2,139.57,139.57,141.89,106.58,47.1,248.51,208.02,208.02,208.02,200.11,200.11,200.11,193.14,193.14,193.14,208.14,208.14,208.14,173.34,26.71,42.81,193.27,25.55,32.23,274.32,54.6,54.6,274.32,232.05,181.69,268.32,181.69,396.36,396.36,202.24,202.24,250.01,250.01,203.59,203.59,263.1,263.1
Ccr8,0,0,0.04,0,0,0.32,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.19,0,0,0.29,0,0,0,0,0,0,0.16,0,1.57,0,1.49,1.49,2.28,2.28,7.86,7.86,0,0,2.46,2.46
